zip,population,Age 0-2,Age 3-4,Age 5,Age 6-12,city
60803,22405,697,540,306,2240.666667,Alsip
60004,50639,1879,1224,710,4619.666667,Arlington Heights
60005,30079,927,379,449,2471.333333,Arlington Heights
60104,18904,733,696,217,1676.333333,Bellwood
60163,5103,169,151,53,384.3333333,Berkeley
60402,62960,2759,1607,881,6697.666667,Berwyn
60406,25338,950,663,222,3081.666667,Blue Island
60455,16144,615,621,123,1171.333333,Bridgeview
60155,7755,146,118,89,755,Broadview
60513,18753,761,711,290,1914,Brookfield
60521,18415,587,410,260,2307.666667,Brookfield
60459,28709,1019,811,281,2638.333333,Burbank
60409,36658,971,886,373,3504.666667,Calumet City
60601,15083,311,115,0,263,Chicago
60602,1145,53,0,0,91,Chicago
60603,1052,5,0,0,0,Chicago
60604,823,5,5,0,7,Chicago
60605,29060,794,253,23,1055.333333,Chicago
60606,3287,75,0,0,44,Chicago
60607,29293,809,508,158,1206.666667,Chicago
60608,80059,2558,1758,632,6173,Chicago
60609,60939,2681,1967,950,6021,Chicago
60610,40548,1098,571,123,1024,Chicago
60611,33224,711,254,41,491,Chicago
60612,33735,1554,701,420,2843,Chicago
60613,50761,2096,630,374,1804.333333,Chicago
60614,71954,2338,1400,589,3579,Chicago
60615,40590,979,1075,421,2186,Chicago
60616,54197,1220,875,392,2995,Chicago
60617,83553,3159,2209,1001,8490.333333,Chicago
60618,94907,4095,2547,1117,8382,Chicago
60619,61207,2206,1654,512,5022.666667,Chicago
60620,67711,2384,1530,729,6011.333333,Chicago
60621,28018,1155,1232,399,2880,Chicago
60622,53294,2309,1224,476,2252.333333,Chicago
60623,81283,3574,2499,1314,9647.666667,Chicago
60624,34892,1666,1173,651,4060.333333,Chicago
60625,79444,3652,2110,1132,5505.333333,Chicago
60626,50544,1425,1425,594,3455.333333,Chicago
60628,64254,2150,1795,539,5676.666667,Chicago
60629,110029,5058,3843,1328,12050,Chicago
60630,56433,1848,1263,580,4575.666667,Chicago
60631,29529,1250,816,415,2131.666667,Chicago
60632,89857,3909,2825,1477,10189.66667,Chicago
60633,12689,439,271,125,926.3333333,Chicago
60634,75082,2499,2009,894,6235.333333,Chicago
60636,30024,990,869,219,2638.666667,Chicago
60637,47300,1609,1412,397,4422,Chicago
60638,58669,2274,1609,646,5831.666667,Chicago
60639,88204,3495,2666,1229,9296,Chicago
60640,69363,1757,1144,700,3490.666667,Chicago
60641,69880,2627,1758,810,5991,Chicago
60642,19716,704,212,78,567.6666667,Chicago
60643,48887,1636,1348,345,3907.666667,Chicago
60644,46591,1767,1570,420,5090.333333,Chicago
60645,47270,2610,1812,518,4732.333333,Chicago
60646,28569,996,805,571,2262.333333,Chicago
60647,87633,3713,2135,872,5245.333333,Chicago
60649,46633,1855,1267,642,3876.333333,Chicago
60651,63492,2808,1755,853,6622.333333,Chicago
60652,43447,1618,1077,706,4750.666667,Chicago
60653,33154,1863,1039,397,3448.666667,Chicago
60654,20022,886,87,186,242,Chicago
60655,28569,1119,803,438,2649,Chicago
60656,28218,1281,597,369,1812.666667,Chicago
60657,70958,2494,1381,459,3009.333333,Chicago
60659,42735,1973,1299,732,4386.666667,Chicago
60660,44498,1278,731,301,2030,Chicago
60661,10354,400,92,120,192,Chicago
60411,57603,2274,1970,707,5725.333333,Chicago Heights
60415,14123,1039,412,217,1176,Chicago Ridge
60804,82383,2583,2515,1326,9897.666667,Cicero
60478,16769,365,310,56,1428.666667,Country Club Hills
60016,59291,2487,1290,382,3847.333333,Des Plaines
60018,30037,1158,606,286,2644.333333,Des Plaines
60419,22436,814,455,304,2421.666667,Dolton
60007,33161,1001,679,310,2448.666667,Elk Grove Village
60010,46455,1310,763,526,4907.333333,Elk Grove Village
60015,27529,710,650,361,2866,Elk Grove Village
60707,43093,1408,923,305,3849.333333,Elmwood Park
60201,41884,1252,863,348,3176,Evanston
60202,32703,1243,699,350,2849.333333,Evanston
60203,4397,265,99,127,358.6666667,Evanston
60805,19479,738,494,218,1923.333333,Evergreen Park
60422,9941,460,439,69,695.3333333,Flossmoor
60130,13927,439,175,85,880.6666667,Forest Park
60131,17834,616,523,191,1423.333333,Franklin Park
60022,8471,179,338,173,974.3333333,Glencoe
60025,40935,1319,1066,706,3828,Glenview
60026,14021,506,210,204,1345,Glenview
60425,8842,259,207,140,822.6666667,Glenwood
60029,476,15,7,12,60.33333333,Golf
60133,38113,1281,844,494,4387,Hanover Park
60426,28683,969,768,315,3000,Harvey
60706,23114,700,472,203,1529.333333,Harwood Heights
60429,15108,303,496,213,1613,Hazel Crest
60457,13816,371,465,231,1392.333333,Hickory Hills
60162,8176,164,172,60,747.6666667,Hillside
60141,302,0,0,0,0,Hines
60169,33373,1463,858,303,2718,Hoffman Estates
60192,15467,425,417,132,1621.333333,Hoffman Estates
60456,4272,131,178,52,287.6666667,Hometown
60430,19691,539,401,349,1812.666667,Homewood
60458,15197,909,781,177,1509.333333,Justice
60043,2460,102,50,48,340.6666667,Kenilworth
60525,30474,934,766,245,3227,La Grange
60526,13451,548,280,133,1417.333333,La Grange Park
60438,28633,723,749,311,2603.666667,Lansing
60439,23435,708,314,283,2196.666667,Lemont
60712,12434,363,168,223,1211.666667,Lincolnwood
60534,10452,520,224,175,1137.333333,Lyons
60428,12180,655,396,150,1392,Markham
60443,21554,704,323,188,1819.333333,Matteson
60153,23578,890,468,259,1803,Maywood
60160,25666,1178,969,407,2989.333333,Melrose Park
60164,21228,717,454,415,2141.666667,Melrose Park
60445,25810,794,496,307,1743.333333,Midlothian
60053,23089,568,392,165,1747,Morton Grove
60056,54524,2304,1721,525,5037,Mount Prospect
60714,29520,848,658,137,1689.333333,Niles
60062,40686,1231,844,518,3453.333333,Northbrook
60452,28008,459,440,227,2727.333333,Oak Forest
60453,55966,1882,1532,713,4886.666667,Oak Lawn
60301,2831,53,36,11,51,Oak Park
60302,31620,1041,913,364,2877,Oak Park
60304,17782,601,521,323,2213,Oak Park
60461,4716,102,96,24,409.3333333,Olympia Fields
60462,39784,1233,802,345,3457.333333,Orland Park
60467,26861,682,405,165,1940,Orland Park
60067,37840,1133,1123,383,3385.666667,Palatine
60074,39217,1991,1020,712,3579.666667,Palatine
60103,41755,1570,1110,826,3802.666667,Palatine
60463,14798,455,213,70,953.3333333,Palos Heights
60465,17345,735,349,289,1257,Palos Hills
60464,9662,206,123,89,843.6666667,Palos Park
60466,21909,541,334,314,2221,Park Forest
60068,37433,1223,1051,380,3524.333333,Park Ridge
60469,5795,364,306,45,735,Posen
60070,15908,745,511,276,1484.666667,Prospect Heights
60471,13917,491,181,30,1273,Richton Park
60305,10970,354,289,100,1204.333333,River Forest
60171,10076,477,232,218,950.6666667,River Grove
60827,28483,1534,1044,555,2988.333333,Riverdale
60546,15405,486,372,187,1402.666667,Riverside
60472,4904,163,124,21,395.3333333,Robbins
60008,21663,860,675,251,1857.666667,Rolling Meadows
60173,12610,621,213,127,996.3333333,Schaumburg
60193,39646,1493,1055,429,3544,Schaumburg
60194,19525,688,675,177,1537.666667,Schaumburg
60195,5020,358,189,119,427,Schaumburg
60176,11621,352,439,227,830,Schiller Park
60076,31788,1104,694,292,2504.666667,Skokie
60077,27626,971,792,358,1977,Skokie
60473,22088,667,381,217,2470.333333,South Holland
60475,9664,393,119,56,787.3333333,Steger
60165,4894,244,147,42,577.3333333,Stone Park
60107,39894,1110,899,380,3653,Streamwood
60120,50573,2659,1785,606,5031,Streamwood
60126,49027,1749,1318,772,5249.666667,Streamwood
60501,11874,490,414,236,1596.333333,Summit Argo
60089,41014,1319,1071,670,3757.666667,Techny
60476,2550,38,24,64,131.6666667,Thornton
60477,37542,1545,953,303,3098,Tinley Park
60487,26736,951,746,474,2568.666667,Tinley Park
60154,16440,494,403,172,1033,Westchester
60558,13272,758,481,205,1660.333333,Western Springs
60090,38553,1429,962,436,3077,Wheeling
60480,5151,136,84,54,305.3333333,Willow Springs
60091,27165,867,758,267,3307.666667,Wilmette
60093,19409,631,631,279,2593.666667,Winnetka
60482,10849,276,337,104,751.3333333,Worth
