state,statename,county,population
CO,Colorado,Denver,727211
CO,Colorado,El Paso,720403
CO,Colorado,Arapahoe,656590
CO,Colorado,Jefferson,582881
CO,Colorado,Adams,517421
CO,Colorado,Larimer,356899
CO,Colorado,Douglas,351154
CO,Colorado,Boulder,326196
CO,Colorado,Weld,324492
CO,Colorado,Pueblo,168424
CO,Colorado,Mesa,154210
CO,Colorado,Broomfield,70465
CO,Colorado,Garfield,60061
CO,Colorado,La Plata,56221
CO,Colorado,Eagle,55127
CO,Colorado,Fremont,47839
CO,Colorado,Montrose,42758
CO,Colorado,Delta,31162
CO,Colorado,Summit,31011
CO,Colorado,Morgan,29068
CO,Colorado,Elbert,26729
CO,Colorado,Montezuma,26183
CO,Colorado,Routt,25638
CO,Colorado,Teller,25388
CO,Colorado,Logan,22409
CO,Colorado,Chaffee,20356
CO,Colorado,Park,18845
CO,Colorado,Otero,18278
CO,Colorado,Pitkin,17767
CO,Colorado,Gunnison,17462
CO,Colorado,Alamosa,16233
CO,Colorado,Grand,15734
CO,Colorado,Las Animas,14506
CO,Colorado,Archuleta,14029
CO,Colorado,Moffat,13283
CO,Colorado,Prowers,12172
CO,Colorado,Rio Grande,11267
CO,Colorado,Yuma,10019
CO,Colorado,Clear Creek,9700
CO,Colorado,Conejos,8205
CO,Colorado,San Miguel,8179
CO,Colorado,Lake,8127
CO,Colorado,Kit Carson,7097
CO,Colorado,Huerfano,6897
CO,Colorado,Saguache,6824
CO,Colorado,Rio Blanco,6324
CO,Colorado,Gilpin,6243
CO,Colorado,Crowley,6061
CO,Colorado,Lincoln,5701
CO,Colorado,Bent,5577
CO,Colorado,Custer,5068
CO,Colorado,Ouray,4952
CO,Colorado,Washington,4908
CO,Colorado,Phillips,4265
CO,Colorado,Costilla,3887
CO,Colorado,Baca,3581
CO,Colorado,Sedgwick,2248
CO,Colorado,Dolores,2055
CO,Colorado,Cheyenne,1831
CO,Colorado,Kiowa,1406
CO,Colorado,Jackson,1392
CO,Colorado,Hinsdale,820
CO,Colorado,Mineral,769
CO,Colorado,San Juan,728
