state,statename,county,population
IA,Iowa,Polk,490161
IA,Iowa,Linn,226706
IA,Iowa,Scott,172943
IA,Iowa,Johnson,151140
IA,Iowa,Black Hawk,131228
IA,Iowa,Woodbury,103107
IA,Iowa,Dubuque,97311
IA,Iowa,Story,97117
IA,Iowa,Dallas,93453
IA,Iowa,Pottawattamie,93206
IA,Iowa,Warren,51466
IA,Iowa,Clinton,46429
IA,Iowa,Muscatine,42664
IA,Iowa,Cerro Gordo,42450
IA,Iowa,Marshall,39369
IA,Iowa,Des Moines,38967
IA,Iowa,Jasper,37185
IA,Iowa,Webster,35904
IA,Iowa,Wapello,34969
IA,Iowa,Sioux,34855
IA,Iowa,Lee,33657
IA,Iowa,Marion,33253
IA,Iowa,Boone,26234
IA,Iowa,Benton,25645
IA,Iowa,Plymouth,25177
IA,Iowa,Bremer,25062
IA,Iowa,Mahaska,22095
IA,Iowa,Washington,21965
IA,Iowa,Buchanan,21175
IA,Iowa,Jones,20681
IA,Iowa,Carroll,20165
IA,Iowa,Winneshiek,19991
IA,Iowa,Henry,19954
IA,Iowa,Fayette,19650
IA,Iowa,Buena Vista,19620
IA,Iowa,Jackson,19439
IA,Iowa,Cedar,18627
IA,Iowa,Poweshiek,18504
IA,Iowa,Jefferson,18295
IA,Iowa,Clayton,17549
IA,Iowa,Dickinson,17258
IA,Iowa,Delaware,17011
IA,Iowa,Tama,16854
IA,Iowa,Hardin,16846
IA,Iowa,Crawford,16820
IA,Iowa,Madison,16338
IA,Iowa,Iowa,16184
IA,Iowa,Clay,16016
IA,Iowa,Floyd,15642
IA,Iowa,Mills,15109
IA,Iowa,Page,15107
IA,Iowa,Kossuth,14813
IA,Iowa,Hamilton,14773
IA,Iowa,Butler,14439
IA,Iowa,Harrison,14049
IA,Iowa,O'Brien,13753
IA,Iowa,Allamakee,13687
IA,Iowa,Cass,12836
IA,Iowa,Wright,12562
IA,Iowa,Appanoose,12426
IA,Iowa,Union,12241
IA,Iowa,Grundy,12232
IA,Iowa,Chickasaw,11933
IA,Iowa,Lyon,11755
IA,Iowa,Shelby,11454
IA,Iowa,Cherokee,11235
IA,Iowa,Louisa,11035
IA,Iowa,Guthrie,10689
IA,Iowa,Hancock,10630
IA,Iowa,Mitchell,10586
IA,Iowa,Winnebago,10354
IA,Iowa,Keokuk,10246
IA,Iowa,Franklin,10070
IA,Iowa,Montgomery,9917
IA,Iowa,Sac,9721
IA,Iowa,Calhoun,9668
IA,Iowa,Humboldt,9558
IA,Iowa,Clarke,9395
IA,Iowa,Emmet,9208
IA,Iowa,Howard,9158
IA,Iowa,Davis,9000
IA,Iowa,Greene,8888
IA,Iowa,Palo Alto,8886
IA,Iowa,Monona,8615
IA,Iowa,Lucas,8600
IA,Iowa,Decatur,7870
IA,Iowa,Monroe,7707
IA,Iowa,Worth,7381
IA,Iowa,Adair,7152
IA,Iowa,Van Buren,7044
IA,Iowa,Fremont,6960
IA,Iowa,Ida,6860
IA,Iowa,Pocahontas,6619
IA,Iowa,Wayne,6441
IA,Iowa,Taylor,6121
IA,Iowa,Osceola,5958
IA,Iowa,Audubon,5496
IA,Iowa,Ringgold,4894
IA,Iowa,Adams,3602
