state,statename,county,region,population
IL,Illinois,Adams,West-Central,65435
IL,Illinois,Alexander,Southern,5761
IL,Illinois,Bond,Metro East,16426
IL,Illinois,Boone,North,53544
IL,Illinois,Brown,West-Central,6578
IL,Illinois,Bureau,North-Central,32628
IL,Illinois,Calhoun,West-Central,4739
IL,Illinois,Carroll,North,14305
IL,Illinois,Cass,West-Central,12147
IL,Illinois,Champaign,East-Central,209689
IL,Illinois,Chicago,City of Chicago,2706000
IL,Illinois,Christian,West-Central,32304
IL,Illinois,Clark,East-Central,15441
IL,Illinois,Clay,East-Central,13184
IL,Illinois,Clinton,Metro East,37562
IL,Illinois,Coles,East-Central,50621
IL,Illinois,Cook,Suburban Cook,5150233
IL,Illinois,Crawford,East-Central,18667
IL,Illinois,Cumberland,East-Central,10766
IL,Illinois,De Witt,East-Central,15638
IL,Illinois,DeKalb,North,104897
IL,Illinois,Douglas,East-Central,19465
IL,Illinois,DuPage,West Suburban,922921
IL,Illinois,Edgar,East-Central,17161
IL,Illinois,Edwards,Southern,6395
IL,Illinois,Effingham,East-Central,34008
IL,Illinois,Fayette,East-Central,21336
IL,Illinois,Ford,East-Central,12961
IL,Illinois,Franklin,Southern,38469
IL,Illinois,Fulton,North-Central,34340
IL,Illinois,Gallatin,Southern,4828
IL,Illinois,Greene,West-Central,12969
IL,Illinois,Grundy,North-Central,51054
IL,Illinois,Hamilton,Southern,8116
IL,Illinois,Hancock,West-Central,17708
IL,Illinois,Hardin,Southern,3821
IL,Illinois,Henderson,North-Central,6646
IL,Illinois,Henry,North-Central,48913
IL,Illinois,Illinois,Illinois,12600000
IL,Illinois,Iroquois,East-Central,27114
IL,Illinois,Jackson,Southern,56750
IL,Illinois,Jasper,East-Central,9610
IL,Illinois,Jefferson,Southern,37684
IL,Illinois,Jersey,West-Central,21773
IL,Illinois,Jo Daviess,North,21235
IL,Illinois,Johnson,Southern,12417
IL,Illinois,Kane,West Suburban,532403
IL,Illinois,Kankakee,South Suburban,109862
IL,Illinois,Kendall,North-Central,128990
IL,Illinois,Knox,North-Central,49699
IL,Illinois,LaSalle,North-Central,49699
IL,Illinois,Lake,North Suburban,696535
IL,Illinois,Lawrence,East-Central,15678
IL,Illinois,Lee,North,34096
IL,Illinois,Livingston,North-Central,35648
IL,Illinois,Logan,West-Central,28618
IL,Illinois,Macon,East-Central,104009
IL,Illinois,Macoupin,West-Central,44926
IL,Illinois,Madison,Metro East,262966
IL,Illinois,Marion,Southern,37205
IL,Illinois,Marshall,North-Central,11438
IL,Illinois,Mason,West-Central,13359
IL,Illinois,Massac,Southern,13772
IL,Illinois,McDonough,North-Central,29682
IL,Illinois,McHenry,North Suburban,307774
IL,Illinois,McLean,North-Central,171517
IL,Illinois,Menard,West-Central,12196
IL,Illinois,Mercer,North-Central,15437
IL,Illinois,Monroe,Metro East,34637
IL,Illinois,Montgomery,West-Central,28414
IL,Illinois,Morgan,West-Central,33658
IL,Illinois,Moultrie,East-Central,14501
IL,Illinois,Ogle,North,50643
IL,Illinois,Peoria,North-Central,179179
IL,Illinois,Perry,Southern,20916
IL,Illinois,Piatt,East-Central,16344
IL,Illinois,Pike,West-Central,15561
IL,Illinois,Pope,Southern,4177
IL,Illinois,Pulaski,Southern,5335
IL,Illinois,Putnam,North-Central,5739
IL,Illinois,Randolph,Metro East,31782
IL,Illinois,Richland,East-Central,15513
IL,Illinois,Rock Island,North-Central,141879
IL,Illinois,Saline,Southern,23491
IL,Illinois,Sangamon,West-Central,194672
IL,Illinois,Schuyler,West-Central,6768
IL,Illinois,Scott,West-Central,4951
IL,Illinois,Shelby,East-Central,21634
IL,Illinois,St. Clair,Metro East,259686
IL,Illinois,Stark,North-Central,5342
IL,Illinois,Stephenson,North,44498
IL,Illinois,Tazewell,North-Central,131803
IL,Illinois,Union,Southern,16653
IL,Illinois,Vermilion,East-Central,75758
IL,Illinois,Wabash,Southern,11520
IL,Illinois,Warren,North-Central,16844
IL,Illinois,Washington,Metro East,13887
IL,Illinois,Wayne,Southern,16215
IL,Illinois,White,Southern,13537
IL,Illinois,Whiteside,North,55175
IL,Illinois,Will,South Suburban,690743
IL,Illinois,Williamson,Southern,66597
IL,Illinois,Winnebago,North,282572
IL,Illinois,Woodford,North-Central,38459
