state,statename,county,population
IN,Indiana,Marion,964582
IN,Indiana,Lake,485493
IN,Indiana,Allen,379299
IN,Indiana,Hamilton,338011
IN,Indiana,St. Joseph,271826
IN,Indiana,Elkhart,206341
IN,Indiana,Tippecanoe,195732
IN,Indiana,Vanderburgh,181451
IN,Indiana,Porter,170389
IN,Indiana,Hendricks,170311
IN,Indiana,Johnson,158167
IN,Indiana,Monroe,148431
IN,Indiana,Madison,129569
IN,Indiana,Clark,118302
IN,Indiana,Delaware,114135
IN,Indiana,LaPorte,109888
IN,Indiana,Vigo,107038
IN,Indiana,Bartholomew,83779
IN,Indiana,Howard,82544
IN,Indiana,Kosciusko,79456
IN,Indiana,Floyd,78522
IN,Indiana,Hancock,78168
IN,Indiana,Morgan,70489
IN,Indiana,Boone,67843
IN,Indiana,Wayne,65884
IN,Indiana,Grant,65769
IN,Indiana,Warrick,62998
IN,Indiana,Dearborn,49458
IN,Indiana,Henry,47972
IN,Indiana,Noble,47744
IN,Indiana,Marshall,46258
IN,Indiana,Lawrence,45370
IN,Indiana,Shelby,44729
IN,Indiana,Jackson,44231
IN,Indiana,DeKalb,43475
IN,Indiana,Dubois,42736
IN,Indiana,Harrison,40515
IN,Indiana,LaGrange,39614
IN,Indiana,Montgomery,38338
IN,Indiana,Cass,37689
IN,Indiana,Putnam,37576
IN,Indiana,Knox,36594
IN,Indiana,Huntington,36520
IN,Indiana,Adams,35777
IN,Indiana,Miami,35516
IN,Indiana,Steuben,34594
IN,Indiana,Whitley,33964
IN,Indiana,Gibson,33659
IN,Indiana,Jasper,33562
IN,Indiana,Daviess,33351
IN,Indiana,Clinton,32399
IN,Indiana,Jefferson,32308
IN,Indiana,Greene,31922
IN,Indiana,Wabash,30996
IN,Indiana,Ripley,28324
IN,Indiana,Wells,28296
IN,Indiana,Washington,28036
IN,Indiana,Jennings,27735
IN,Indiana,Decatur,26559
IN,Indiana,Clay,26225
IN,Indiana,Posey,25427
IN,Indiana,Randolph,24665
IN,Indiana,White,24102
IN,Indiana,Scott,23873
IN,Indiana,Fayette,23102
IN,Indiana,Starke,22995
IN,Indiana,Franklin,22758
IN,Indiana,Owen,20799
IN,Indiana,Sullivan,20669
IN,Indiana,Jay,20436
IN,Indiana,Spencer,20277
IN,Indiana,Carroll,20257
IN,Indiana,Fulton,19974
IN,Indiana,Orange,19646
IN,Indiana,Perry,19169
IN,Indiana,Parke,16937
IN,Indiana,Rush,16581
IN,Indiana,Fountain,16346
IN,Indiana,Vermillion,15498
IN,Indiana,Tipton,15148
IN,Indiana,Brown,15092
IN,Indiana,Newton,13984
IN,Indiana,Pike,12389
IN,Indiana,Pulaski,12353
IN,Indiana,Blackford,11758
IN,Indiana,Switzerland,10751
IN,Indiana,Crawford,10577
IN,Indiana,Martin,10255
IN,Indiana,Benton,8748
IN,Indiana,Warren,8265
IN,Indiana,Union,7054
IN,Indiana,Ohio,5875
