state,statename,county,population
KS,Kansas,Johnson,602401
KS,Kansas,Sedgwick,516042
KS,Kansas,Shawnee,176875
KS,Kansas,Wyandotte,165429
KS,Kansas,Douglas,122259
KS,Kansas,Leavenworth,81758
KS,Kansas,Riley,74232
KS,Kansas,Butler,66911
KS,Kansas,Reno,61998
KS,Kansas,Saline,54224
KS,Kansas,Crawford,38818
KS,Kansas,Finney,36467
KS,Kansas,Cowley,34908
KS,Kansas,Harvey,34429
KS,Kansas,Miami,34237
KS,Kansas,Ford,33619
KS,Kansas,Lyon,33195
KS,Kansas,Montgomery,31829
KS,Kansas,Geary,31670
KS,Kansas,Ellis,28553
KS,Kansas,McPherson,28542
KS,Kansas,Barton,25779
KS,Kansas,Franklin,25544
KS,Kansas,Pottawatomie,24383
KS,Kansas,Sumner,22836
KS,Kansas,Seward,21428
KS,Kansas,Cherokee,19939
KS,Kansas,Labette,19618
KS,Kansas,Jefferson,19043
KS,Kansas,Dickinson,18466
KS,Kansas,Atchison,16073
KS,Kansas,Neosho,16007
KS,Kansas,Osage,15949
KS,Kansas,Bourbon,14534
KS,Kansas,Jackson,13171
KS,Kansas,Allen,12369
KS,Kansas,Marion,11884
KS,Kansas,Nemaha,10231
KS,Kansas,Marshall,9707
KS,Kansas,Linn,9703
KS,Kansas,Brown,9564
KS,Kansas,Rice,9537
KS,Kansas,Pratt,9164
KS,Kansas,Cloud,8786
KS,Kansas,Wilson,8525
KS,Kansas,Coffey,8179
KS,Kansas,Clay,8002
KS,Kansas,Anderson,7858
KS,Kansas,Thomas,7777
KS,Kansas,Doniphan,7600
KS,Kansas,Kingman,7152
KS,Kansas,Grant,7150
KS,Kansas,Wabaunsee,6931
KS,Kansas,Russell,6856
KS,Kansas,Pawnee,6414
KS,Kansas,Ellsworth,6102
KS,Kansas,Gray,5988
KS,Kansas,Greenwood,5982
KS,Kansas,Mitchell,5979
KS,Kansas,Sherman,5917
KS,Kansas,Ottawa,5704
KS,Kansas,Morris,5620
KS,Kansas,Stevens,5485
KS,Kansas,Harper,5436
KS,Kansas,Washington,5406
KS,Kansas,Norton,5361
KS,Kansas,Phillips,5234
KS,Kansas,Rooks,4920
KS,Kansas,Scott,4823
KS,Kansas,Republic,4636
KS,Kansas,Barber,4427
KS,Kansas,Stafford,4156
KS,Kansas,Meade,4033
KS,Kansas,Haskell,3968
KS,Kansas,Kearny,3838
KS,Kansas,Smith,3583
KS,Kansas,Osborne,3421
KS,Kansas,Chautauqua,3250
KS,Kansas,Woodson,3138
KS,Kansas,Rush,3036
KS,Kansas,Lincoln,2962
KS,Kansas,Jewell,2879
KS,Kansas,Decatur,2827
KS,Kansas,Trego,2803
KS,Kansas,Edwards,2798
KS,Kansas,Logan,2794
KS,Kansas,Ness,2750
KS,Kansas,Cheyenne,2657
KS,Kansas,Chase,2648
KS,Kansas,Gove,2636
KS,Kansas,Morton,2587
KS,Kansas,Hamilton,2539
KS,Kansas,Rawlins,2530
KS,Kansas,Elk,2530
KS,Kansas,Sheridan,2521
KS,Kansas,Graham,2482
KS,Kansas,Kiowa,2475
KS,Kansas,Wichita,2119
KS,Kansas,Stanton,2006
KS,Kansas,Clark,1994
KS,Kansas,Hodgeman,1794
KS,Kansas,Comanche,1700
KS,Kansas,Lane,1535
KS,Kansas,Wallace,1518
KS,Kansas,Greeley,1232
