state,statename,county,population
KY,Kentucky,Jefferson,770797
KY,Kentucky,Fayette,326954
KY,Kentucky,Kenton,167333
KY,Kentucky,Warren,135802
KY,Kentucky,Boone,133377
KY,Kentucky,Hardin,114616
KY,Kentucky,Daviess,102220
KY,Kentucky,Madison,94652
KY,Kentucky,Campbell,94362
KY,Kentucky,Bullitt,82639
KY,Kentucky,Christian,72509
KY,Kentucky,Oldham,66432
KY,Kentucky,McCracken,65244
KY,Kentucky,Pulaski,65155
KY,Kentucky,Laurel,61409
KY,Kentucky,Scott,58513
KY,Kentucky,Pike,57482
KY,Kentucky,Jessamine,55198
KY,Kentucky,Franklin,51437
KY,Kentucky,Shelby,50564
KY,Kentucky,Nelson,46329
KY,Kentucky,Boyd,46202
KY,Kentucky,Barren,44898
KY,Kentucky,Henderson,44795
KY,Kentucky,Hopkins,44466
KY,Kentucky,Calloway,39675
KY,Kentucky,Graves,37605
KY,Kentucky,Clark,36867
KY,Kentucky,Whitley,36468
KY,Kentucky,Floyd,35013
KY,Kentucky,Greenup,34822
KY,Kentucky,Marshall,30951
KY,Kentucky,Knox,30944
KY,Kentucky,Muhlenberg,30476
KY,Kentucky,Boyle,30384
KY,Kentucky,Meade,29957
KY,Kentucky,Montgomery,28697
KY,Kentucky,Logan,26939
KY,Kentucky,Woodford,26807
KY,Kentucky,Carter,26626
KY,Kentucky,Grayson,26435
KY,Kentucky,Bell,25899
KY,Kentucky,Harlan,25777
KY,Kentucky,Taylor,25523
KY,Kentucky,Grant,25363
KY,Kentucky,Perry,25318
KY,Kentucky,Lincoln,24936
KY,Kentucky,Rowan,24625
KY,Kentucky,Ohio,23989
KY,Kentucky,Anderson,22953
KY,Kentucky,Mercer,22146
KY,Kentucky,Johnson,22016
KY,Kentucky,Allen,21524
KY,Kentucky,Letcher,21041
KY,Kentucky,Breckinridge,20862
KY,Kentucky,Bourbon,20288
KY,Kentucky,Wayne,20162
KY,Kentucky,Clay,19769
KY,Kentucky,Marion,19580
KY,Kentucky,Spencer,19440
KY,Kentucky,Simpson,19377
KY,Kentucky,Hart,19194
KY,Kentucky,Adair,19057
KY,Kentucky,Harrison,18874
KY,Kentucky,Russell,17985
KY,Kentucky,Garrard,17686
KY,Kentucky,McCreary,17378
KY,Kentucky,Mason,17000
KY,Kentucky,Rockcastle,16736
KY,Kentucky,Henry,16330
KY,Kentucky,Casey,16076
KY,Kentucky,Lawrence,15243
KY,Kentucky,Trigg,15081
KY,Kentucky,Knott,14808
KY,Kentucky,Larue,14499
KY,Kentucky,Pendleton,14471
KY,Kentucky,Fleming,14440
KY,Kentucky,Union,14235
KY,Kentucky,Estill,14140
KY,Kentucky,Morgan,13613
KY,Kentucky,Jackson,13486
KY,Kentucky,Webster,13191
KY,Kentucky,Lewis,13055
KY,Kentucky,Caldwell,12791
KY,Kentucky,Butler,12720
KY,Kentucky,Powell,12684
KY,Kentucky,Todd,12533
KY,Kentucky,Bath,12393
KY,Kentucky,Washington,12374
KY,Kentucky,Edmonson,12326
KY,Kentucky,Breathitt,12316
KY,Kentucky,Magoffin,12008
KY,Kentucky,Owen,11062
KY,Kentucky,Green,11019
KY,Kentucky,Martin,10979
KY,Kentucky,Monroe,10932
KY,Kentucky,Carroll,10755
KY,Kentucky,Clinton,10140
KY,Kentucky,Metcalfe,9932
KY,Kentucky,Leslie,9811
KY,Kentucky,McLean,9318
KY,Kentucky,Livingston,9198
KY,Kentucky,Gallatin,9006
KY,Kentucky,Hancock,8718
KY,Kentucky,Crittenden,8703
KY,Kentucky,Trimble,8415
KY,Kentucky,Bracken,8163
KY,Kentucky,Lee,7919
KY,Kentucky,Ballard,7895
KY,Kentucky,Lyon,7801
KY,Kentucky,Elliott,7508
KY,Kentucky,Nicholas,7224
KY,Kentucky,Wolfe,7041
KY,Kentucky,Cumberland,6585
KY,Kentucky,Menifee,6421
KY,Kentucky,Fulton,5952
KY,Kentucky,Carlisle,4657
KY,Kentucky,Owsley,4584
KY,Kentucky,Hickman,4217
KY,Kentucky,Robertson,2141
