state,statename,county,population
MI,Michigan,Wayne,1749343
MI,Michigan,Oakland,1257584
MI,Michigan,Macomb,873972
MI,Michigan,Kent,656955
MI,Michigan,Genesee,405813
MI,Michigan,Washtenaw,367601
MI,Michigan,Ingham,292406
MI,Michigan,Ottawa,291830
MI,Michigan,Kalamazoo,265066
MI,Michigan,Livingston,191995
MI,Michigan,Saginaw,190539
MI,Michigan,Muskegon,173566
MI,Michigan,St. Clair,159128
MI,Michigan,Jackson,158510
MI,Michigan,Berrien,153401
MI,Michigan,Monroe,150500
MI,Michigan,Calhoun,134159
MI,Michigan,Allegan,118081
MI,Michigan,Eaton,110268
MI,Michigan,Bay,103126
MI,Michigan,Lenawee,98451
MI,Michigan,Grand Traverse,93088
MI,Michigan,Lapeer,87607
MI,Michigan,Midland,83156
MI,Michigan,Clinton,79595
MI,Michigan,Van Buren,75677
MI,Michigan,Isabella,69872
MI,Michigan,Shiawassee,68122
MI,Michigan,Marquette,66699
MI,Michigan,Ionia,64697
MI,Michigan,Montcalm,63888
MI,Michigan,Barry,61550
MI,Michigan,St. Joseph,60964
MI,Michigan,Tuscola,52245
MI,Michigan,Cass,51787
MI,Michigan,Newaygo,48980
MI,Michigan,Hillsdale,45605
MI,Michigan,Branch,43517
MI,Michigan,Mecosta,43453
MI,Michigan,Sanilac,41170
MI,Michigan,Gratiot,40711
MI,Michigan,Chippewa,37349
MI,Michigan,Delta,35784
MI,Michigan,Houghton,35684
MI,Michigan,Wexford,33631
MI,Michigan,Emmet,33415
MI,Michigan,Huron,30981
MI,Michigan,Clare,30950
MI,Michigan,Mason,29144
MI,Michigan,Alpena,28405
MI,Michigan,Oceana,26467
MI,Michigan,Charlevoix,26143
MI,Michigan,Gladwin,25449
MI,Michigan,Cheboygan,25276
MI,Michigan,Dickinson,25239
MI,Michigan,Iosco,25127
MI,Michigan,Otsego,24668
MI,Michigan,Manistee,24558
MI,Michigan,Roscommon,24019
MI,Michigan,Osceola,23460
MI,Michigan,Antrim,23324
MI,Michigan,Menominee,22780
MI,Michigan,Leelanau,21761
MI,Michigan,Ogemaw,20997
MI,Michigan,Kalkaska,18038
MI,Michigan,Benzie,17766
MI,Michigan,Missaukee,15118
MI,Michigan,Arenac,14883
MI,Michigan,Crawford,14029
MI,Michigan,Gogebic,13975
MI,Michigan,Presque Isle,12592
MI,Michigan,Lake,11853
MI,Michigan,Iron,11066
MI,Michigan,Mackinac,10799
MI,Michigan,Alcona,10405
MI,Michigan,Montmorency,9328
MI,Michigan,Alger,9108
MI,Michigan,Oscoda,8241
MI,Michigan,Baraga,8209
MI,Michigan,Schoolcraft,8094
MI,Michigan,Luce,6229
MI,Michigan,Ontonagon,5720
MI,Michigan,Keweenaw,2116
