County,Population
Hennepin County,1265843
Ramsey County,550321
Dakota County,429021
Anoka County,356921
Washington County,262440
St. Louis County,199070
Stearns County,161075
Olmsted County,158293
Scott County,149013
Wright County,138377
Carver County,105089
Sherburne County,97238
Blue Earth County,67653
Rice County,66972
Crow Wing County,65055
Clay County,64222
Otter Tail County,58746
Chisago County,56579
Winona County,50484
Beltrami County,47188
Goodhue County,46340
Itasca County,45130
Kandiyohi County,43199
Benton County,40889
Isanti County,40596
Mower County,40062
Douglas County,38141
Steele County,36649
McLeod County,35893
Carlton County,35871
Becker County,34423
Nicollet County,34274
Morrison County,33386
Polk County,31364
Freeborn County,30281
Cass County,29779
Pine County,29579
Le Sueur County,28887
Mille Lacs County,26277
Lyon County,25474
Brown County,25008
Todd County,24664
Meeker County,23222
Nobles County,21629
Wabasha County,21627
Hubbard County,21491
Fillmore County,21067
Dodge County,20934
Martin County,19683
Waseca County,18612
Houston County,18600
Kanabec County,16337
Aitkin County,15886
Redwood County,15170
Roseau County,15165
Sibley County,14865
Renville County,14548
Pennington County,14119
Wadena County,13682
Faribault County,13653
Koochiching County,12229
Chippewa County,11800
Pope County,11249
Cottonwood County,11196
Watonwan County,10897
Lake County,10641
Jackson County,9846
Stevens County,9805
Yellow Medicine County,9709
Marshall County,9336
Rock County,9315
Swift County,9266
Pipestone County,9126
Clearwater County,8818
Murray County,8194
Lac qui Parle County,6623
Norman County,6375
Wilkin County,6207
Grant County,5972
Lincoln County,5639
Mahnomen County,5527
Cook County,5463
Big Stone County,4991
Kittson County,4298
Red Lake County,4055
Lake of the Woods County,3740
Traverse County,3259
