state,statename,county,population
MO,Missouri,St. Louis,994205
MO,Missouri,Jackson,703011
MO,Missouri,St. Charles,402022
MO,Missouri,St. Louis city/county,300576
MO,Missouri,Greene,293086
MO,Missouri,Clay,249948
MO,Missouri,Jefferson,225081
MO,Missouri,Boone,180463
MO,Missouri,Jasper,121328
MO,Missouri,Cass,105780
MO,Missouri,Platte,104418
MO,Missouri,Franklin,103967
MO,Missouri,Christian,88595
MO,Missouri,Buchanan,87364
MO,Missouri,Cape Girardeau,78871
MO,Missouri,Cole,76745
MO,Missouri,St. Francois,67215
MO,Missouri,Lincoln,59013
MO,Missouri,Newton,58236
MO,Missouri,Taney,55928
MO,Missouri,Johnson,54062
MO,Missouri,Pulaski,52607
MO,Missouri,Camden,46305
MO,Missouri,Callaway,44743
MO,Missouri,Phelps,44573
MO,Missouri,Butler,42478
MO,Missouri,Pettis,42339
MO,Missouri,Howell,40117
MO,Missouri,Webster,39592
MO,Missouri,Lawrence,38355
MO,Missouri,Scott,38280
MO,Missouri,Barry,35789
MO,Missouri,Laclede,35723
MO,Missouri,Warren,35649
MO,Missouri,Lafayette,32708
MO,Missouri,Polk,32149
MO,Missouri,Stone,31952
MO,Missouri,Dunklin,29131
MO,Missouri,Stoddard,29025
MO,Missouri,Marion,28530
MO,Missouri,Miller,25619
MO,Missouri,Texas,25398
MO,Missouri,Audrain,25388
MO,Missouri,Adair,25343
MO,Missouri,Randolph,24748
MO,Missouri,Washington,24730
MO,Missouri,Crawford,23920
MO,Missouri,Ray,23018
MO,Missouri,McDonald,22837
MO,Missouri,Saline,22761
MO,Missouri,Nodaway,22092
MO,Missouri,Henry,21824
MO,Missouri,Morgan,20627
MO,Missouri,Vernon,20563
MO,Missouri,Clinton,20387
MO,Missouri,Benton,19443
MO,Missouri,Perry,19136
MO,Missouri,Pike,18302
MO,Missouri,Wright,18289
MO,Missouri,Ste. Genevieve,17894
MO,Missouri,Andrew,17712
MO,Missouri,Cooper,17709
MO,Missouri,New Madrid,17076
MO,Missouri,Dallas,16878
MO,Missouri,Bates,16172
MO,Missouri,Moniteau,16132
MO,Missouri,Pemiscot,15805
MO,Missouri,Dent,15573
MO,Missouri,Livingston,15227
MO,Missouri,Macon,15117
MO,Missouri,Gasconade,14706
MO,Missouri,Cedar,14349
MO,Missouri,Osage,13615
MO,Missouri,Ripley,13288
MO,Missouri,Douglas,13185
MO,Missouri,Mississippi,13180
MO,Missouri,Wayne,12873
MO,Missouri,DeKalb,12547
MO,Missouri,Bollinger,12133
MO,Missouri,Madison,12088
MO,Missouri,Linn,11920
MO,Missouri,Barton,11754
MO,Missouri,Montgomery,11551
MO,Missouri,Oregon,10529
MO,Missouri,Ralls,10309
MO,Missouri,Iron,10125
MO,Missouri,Howard,10001
MO,Missouri,Grundy,9850
MO,Missouri,Lewis,9776
MO,Missouri,Hickory,9544
MO,Missouri,St. Clair,9397
MO,Missouri,Ozark,9174
MO,Missouri,Caldwell,9020
MO,Missouri,Maries,8697
MO,Missouri,Carroll,8679
MO,Missouri,Monroe,8644
MO,Missouri,Harrison,8352
MO,Missouri,Daviess,8278
MO,Missouri,Shannon,8166
MO,Missouri,Dade,7561
MO,Missouri,Chariton,7426
MO,Missouri,Clark,6797
MO,Missouri,Gentry,6571
MO,Missouri,Reynolds,6270
MO,Missouri,Sullivan,6089
MO,Missouri,Carter,5982
MO,Missouri,Shelby,5930
MO,Missouri,Atchison,5143
MO,Missouri,Scotland,4902
MO,Missouri,Putnam,4696
MO,Missouri,Schuyler,4660
MO,Missouri,Holt,4403
MO,Missouri,Knox,3959
MO,Missouri,Mercer,3617
MO,Missouri,Worth,2013
