state,statename,county,population
NE,Nebraska,Douglas,571327
NE,Nebraska,Lancaster,319090
NE,Nebraska,Sarpy,187196
NE,Nebraska,Hall,61353
NE,Nebraska,Buffalo,49659
NE,Nebraska,Dodge,36565
NE,Nebraska,Scotts Bluff,35618
NE,Nebraska,Madison,35099
NE,Nebraska,Lincoln,34914
NE,Nebraska,Platte,33470
NE,Nebraska,Adams,31363
NE,Nebraska,Cass,26248
NE,Nebraska,Dawson,23595
NE,Nebraska,Saunders,21578
NE,Nebraska,Gage,21513
NE,Nebraska,Washington,20729
NE,Nebraska,Dakota,20026
NE,Nebraska,Seward,17284
NE,Nebraska,Otoe,16012
NE,Nebraska,Saline,14224
NE,Nebraska,York,13679
NE,Nebraska,Box Butte,10783
NE,Nebraska,Custer,10777
NE,Nebraska,Red Willow,10724
NE,Nebraska,Colfax,10709
NE,Nebraska,Holt,10067
NE,Nebraska,Wayne,9385
NE,Nebraska,Hamilton,9324
NE,Nebraska,Phelps,9034
NE,Nebraska,Cheyenne,8910
NE,Nebraska,Cuming,8846
NE,Nebraska,Dawes,8589
NE,Nebraska,Cedar,8402
NE,Nebraska,Knox,8332
NE,Nebraska,Keith,8034
NE,Nebraska,Butler,8016
NE,Nebraska,Richardson,7865
NE,Nebraska,Merrick,7755
NE,Nebraska,Thurston,7224
NE,Nebraska,Pierce,7148
NE,Nebraska,Jefferson,7046
NE,Nebraska,Nemaha,6972
NE,Nebraska,Kearney,6495
NE,Nebraska,Burt,6459
NE,Nebraska,Howard,6445
NE,Nebraska,Antelope,6298
NE,Nebraska,Clay,6203
NE,Nebraska,Stanton,5920
NE,Nebraska,Cherry,5689
NE,Nebraska,Dixon,5636
NE,Nebraska,Fillmore,5462
NE,Nebraska,Sheridan,5246
NE,Nebraska,Polk,5213
NE,Nebraska,Boone,5192
NE,Nebraska,Johnson,5071
NE,Nebraska,Thayer,5003
NE,Nebraska,Furnas,4676
NE,Nebraska,Morrill,4642
NE,Nebraska,Valley,4158
NE,Nebraska,Nuckolls,4148
NE,Nebraska,Chase,3924
NE,Nebraska,Kimball,3632
NE,Nebraska,Nance,3519
NE,Nebraska,Webster,3487
NE,Nebraska,Harlan,3380
NE,Nebraska,Sherman,3001
NE,Nebraska,Franklin,2979
NE,Nebraska,Brown,2955
NE,Nebraska,Perkins,2891
NE,Nebraska,Hitchcock,2762
NE,Nebraska,Frontier,2627
NE,Nebraska,Pawnee,2613
NE,Nebraska,Greeley,2356
NE,Nebraska,Gosper,1990
NE,Nebraska,Garfield,1969
NE,Nebraska,Boyd,1919
NE,Nebraska,Garden,1837
NE,Nebraska,Deuel,1794
NE,Nebraska,Dundy,1693
NE,Nebraska,Rock,1357
NE,Nebraska,Sioux,1166
NE,Nebraska,Hayes,922
NE,Nebraska,Keya Paha,806
NE,Nebraska,Wheeler,783
NE,Nebraska,Logan,748
NE,Nebraska,Banner,745
NE,Nebraska,Thomas,722
NE,Nebraska,Hooker,682
NE,Nebraska,Loup,664
NE,Nebraska,Grant,623
NE,Nebraska,McPherson,494
NE,Nebraska,Blaine,465
NE,Nebraska,Arthur,463
