state,statename,county,population
NM,New Mexico,Bernalillo,679121
NM,New Mexico,Doña Ana,218195
NM,New Mexico,Santa Fe,150358
NM,New Mexico,Sandoval,146748
NM,New Mexico,San Juan,123958
NM,New Mexico,Valencia,76688
NM,New Mexico,McKinley,71367
NM,New Mexico,Lea,71070
NM,New Mexico,Otero,67490
NM,New Mexico,Chaves,64615
NM,New Mexico,Eddy,58460
NM,New Mexico,Curry,48954
NM,New Mexico,Rio Arriba,38921
NM,New Mexico,Taos,32723
NM,New Mexico,San Miguel,27277
NM,New Mexico,Grant,26998
NM,New Mexico,Cibola,26675
NM,New Mexico,Luna,23709
NM,New Mexico,Lincoln,19572
NM,New Mexico,Los Alamos,19369
NM,New Mexico,Roosevelt,18500
NM,New Mexico,Socorro,16637
NM,New Mexico,Torrance,15461
NM,New Mexico,Colfax,11941
NM,New Mexico,Sierra,10791
NM,New Mexico,Quay,8253
NM,New Mexico,Mora,4521
NM,New Mexico,Guadalupe,4300
NM,New Mexico,Hidalgo,4198
NM,New Mexico,Union,4059
NM,New Mexico,Catron,3527
NM,New Mexico,De Baca,1748
NM,New Mexico,Harding,625
