state,statename,county,population
OK,Oklahoma,Oklahoma,797434
OK,Oklahoma,Tulsa,651552
OK,Oklahoma,Cleveland,284014
OK,Oklahoma,Canadian,148306
OK,Oklahoma,Comanche,120749
OK,Oklahoma,Rogers,92459
OK,Oklahoma,Payne,81784
OK,Oklahoma,Wagoner,81289
OK,Oklahoma,Pottawatomie,72592
OK,Oklahoma,Creek,71522
OK,Oklahoma,Muskogee,67997
OK,Oklahoma,Garfield,61056
OK,Oklahoma,Grady,55834
OK,Oklahoma,Washington,51527
OK,Oklahoma,Le Flore,49853
OK,Oklahoma,Cherokee,48657
OK,Oklahoma,Carter,48111
OK,Oklahoma,Logan,48011
OK,Oklahoma,Bryan,47995
OK,Oklahoma,Osage,46963
OK,Oklahoma,Pittsburg,43654
OK,Oklahoma,Kay,43538
OK,Oklahoma,Stephens,43143
OK,Oklahoma,Delaware,43009
OK,Oklahoma,Sequoyah,41569
OK,Oklahoma,Mayes,41100
OK,Oklahoma,McClain,40474
OK,Oklahoma,Okmulgee,38465
OK,Oklahoma,Pontotoc,38284
OK,Oklahoma,Lincoln,34877
OK,Oklahoma,McCurtain,32832
OK,Oklahoma,Ottawa,31127
OK,Oklahoma,Custer,29003
OK,Oklahoma,Caddo,28762
OK,Oklahoma,Garvin,27711
OK,Oklahoma,Jackson,24530
OK,Oklahoma,Seminole,24258
OK,Oklahoma,Adair,22194
OK,Oklahoma,Beckham,21859
OK,Oklahoma,Woodward,20211
OK,Oklahoma,Texas,19983
OK,Oklahoma,McIntosh,19596
OK,Oklahoma,Marshall,16931
OK,Oklahoma,Pawnee,16376
OK,Oklahoma,Kingfisher,15765
OK,Oklahoma,Choctaw,14672
OK,Oklahoma,Craig,14142
OK,Oklahoma,Murray,14073
OK,Oklahoma,Atoka,13758
OK,Oklahoma,Hughes,13279
OK,Oklahoma,Haskell,12627
OK,Oklahoma,Okfuskee,11993
OK,Oklahoma,Noble,11131
OK,Oklahoma,Pushmataha,11096
OK,Oklahoma,Johnston,11085
OK,Oklahoma,Washita,10916
OK,Oklahoma,Love,10253
OK,Oklahoma,Nowata,10076
OK,Oklahoma,Latimer,10073
OK,Oklahoma,Blaine,9429
OK,Oklahoma,Woods,8793
OK,Oklahoma,Kiowa,8708
OK,Oklahoma,Major,7629
OK,Oklahoma,Tillman,7250
OK,Oklahoma,Jefferson,6002
OK,Oklahoma,Greer,5712
OK,Oklahoma,Alfalfa,5702
OK,Oklahoma,Cotton,5666
OK,Oklahoma,Coal,5495
OK,Oklahoma,Beaver,5311
OK,Oklahoma,Dewey,4891
OK,Oklahoma,Grant,4333
OK,Oklahoma,Ellis,3859
OK,Oklahoma,Harper,3688
OK,Oklahoma,Roger Mills,3583
OK,Oklahoma,Harmon,2653
OK,Oklahoma,Cimarron,2137
