state,statename,county,population
UT,Utah,Salt Lake,1160437
UT,Utah,Utah,636235
UT,Utah,Davis,355481
UT,Utah,Weber,260213
UT,Utah,Washington,177556
UT,Utah,Cache,128289
UT,Utah,Tooele,72259
UT,Utah,Box Elder,56046
UT,Utah,Iron,54839
UT,Utah,Summit,42145
UT,Utah,Uintah,35734
UT,Utah,Wasatch,34091
UT,Utah,Sanpete,30939
UT,Utah,Sevier,21620
UT,Utah,Carbon,20463
UT,Utah,Duchesne,19938
UT,Utah,San Juan,15308
UT,Utah,Millard,13188
UT,Utah,Morgan,12124
UT,Utah,Juab,12017
UT,Utah,Emery,10012
UT,Utah,Grand,9754
UT,Utah,Kane,7886
UT,Utah,Beaver,6710
UT,Utah,Garfield,5051
UT,Utah,Wayne,2711
UT,Utah,Rich,2483
UT,Utah,Piute,1479
UT,Utah,Daggett,950
