state,statename,county,population
WI,Wisconsin,Milwaukee,945726
WI,Wisconsin,Dane,546695
WI,Wisconsin,Waukesha,404198
WI,Wisconsin,Brown,264542
WI,Wisconsin,Racine,196311
WI,Wisconsin,Outagamie,187885
WI,Wisconsin,Winnebago,171907
WI,Wisconsin,Kenosha,169561
WI,Wisconsin,Rock,163354
WI,Wisconsin,Washington,136034
WI,Wisconsin,Marathon,135692
WI,Wisconsin,La Crosse,118016
WI,Wisconsin,Sheboygan,115340
WI,Wisconsin,Eau Claire,104646
WI,Wisconsin,Walworth,103868
WI,Wisconsin,Fond du Lac,103403
WI,Wisconsin,St. Croix,90687
WI,Wisconsin,Ozaukee,89221
WI,Wisconsin,Dodge,87839
WI,Wisconsin,Jefferson,84769
WI,Wisconsin,Manitowoc,78981
WI,Wisconsin,Wood,72999
WI,Wisconsin,Portage,70772
WI,Wisconsin,Chippewa,64658
WI,Wisconsin,Sauk,64442
WI,Wisconsin,Columbia,57532
WI,Wisconsin,Grant,51439
WI,Wisconsin,Waupaca,50990
WI,Wisconsin,Calumet,50089
WI,Wisconsin,Monroe,46253
WI,Wisconsin,Dunn,45368
WI,Wisconsin,Barron,45244
WI,Wisconsin,Polk,43783
WI,Wisconsin,Douglas,43150
WI,Wisconsin,Pierce,42754
WI,Wisconsin,Shawano,40899
WI,Wisconsin,Marinette,40350
WI,Wisconsin,Oconto,37930
WI,Wisconsin,Green,36960
WI,Wisconsin,Oneida,35595
WI,Wisconsin,Clark,34774
WI,Wisconsin,Vernon,30822
WI,Wisconsin,Trempealeau,29649
WI,Wisconsin,Door,27668
WI,Wisconsin,Lincoln,27593
WI,Wisconsin,Juneau,26687
WI,Wisconsin,Waushara,24443
WI,Wisconsin,Iowa,23678
WI,Wisconsin,Vilas,22195
WI,Wisconsin,Jackson,20643
WI,Wisconsin,Kewaunee,20434
WI,Wisconsin,Taylor,20343
WI,Wisconsin,Adams,20220
WI,Wisconsin,Langlade,19189
WI,Wisconsin,Green Lake,18913
WI,Wisconsin,Richland,17252
WI,Wisconsin,Lafayette,16665
WI,Wisconsin,Sawyer,16558
WI,Wisconsin,Crawford,16131
WI,Wisconsin,Washburn,15720
WI,Wisconsin,Marquette,15574
WI,Wisconsin,Ashland,15562
WI,Wisconsin,Burnett,15414
WI,Wisconsin,Bayfield,15036
WI,Wisconsin,Rusk,14178
WI,Wisconsin,Price,13351
WI,Wisconsin,Buffalo,13031
WI,Wisconsin,Forest,9004
WI,Wisconsin,Pepin,7287
WI,Wisconsin,Iron,5687
WI,Wisconsin,Menominee,4556
WI,Wisconsin,Florence,4295
