state,statename,county,population
WY,Wyoming,Laramie,99500
WY,Wyoming,Natrona,79858
WY,Wyoming,Campbell,46341
WY,Wyoming,Sweetwater,42343
WY,Wyoming,Fremont,39261
WY,Wyoming,Albany,38880
WY,Wyoming,Sheridan,30485
WY,Wyoming,Park,29194
WY,Wyoming,Teton,23464
WY,Wyoming,Uinta,20226
WY,Wyoming,Lincoln,19830
WY,Wyoming,Carbon,14800
WY,Wyoming,Converse,13822
WY,Wyoming,Goshen,13211
WY,Wyoming,Big Horn,11790
WY,Wyoming,Sublette,9831
WY,Wyoming,Johnson,8445
WY,Wyoming,Platte,8393
WY,Wyoming,Washakie,7805
WY,Wyoming,Crook,7584
WY,Wyoming,Weston,6927
WY,Wyoming,Hot Springs,4413
WY,Wyoming,Niobrara,2356
