,beds,beds,beds,beds,beds,beds,beds,beds,beds,beds,beds,icu,icu,icu,icu,icu,icu,icu,icu,icu,icu,icu,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests
region,Chicago,East-Central,Metro East,North,North Suburban,North-Central,South Suburban,Southern,Suburban Cook,West Suburban,West-Central,Chicago,East-Central,Metro East,North,North Suburban,North-Central,South Suburban,Southern,Suburban Cook,West Suburban,West-Central,Chicago,East-Central,Metro East,North,North Suburban,North-Central,South Suburban,Southern,Suburban Cook,West Suburban,West-Central,Chicago,East-Central,Metro East,North,North Suburban,North-Central,South Suburban,Southern,Suburban Cook,West Suburban,West-Central,Chicago,East-Central,Metro East,North,North Suburban,North-Central,South Suburban,Southern,Suburban Cook,West Suburban,West-Central,Chicago,East-Central,Metro East,North,North Suburban,North-Central,South Suburban,Southern,Suburban Cook,West Suburban,West-Central
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,10.0,5.0,0.0,8.6,1.7,4.4,6.7,5.5,2.7,5.9,1.6,7.3,7.0,1.6,349.0,21.0,31.0,60.0,101.0,70.0,76.0,5.0,271.0,136.0,12.0,5454.0,1224.0,924.0,944.0,1986.0,1913.0,1492.0,472.0,5204.0,2381.0,1843.0
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,3.0,2.0,4.0,2.0,4.0,1.0,15.0,7.0,1.0,7.7,1.6,4.9,5.9,5.3,2.8,5.4,1.5,6.6,6.5,1.3,307.0,20.0,51.0,51.0,88.0,69.0,50.0,13.0,234.0,113.0,4.0,4952.0,1012.0,627.0,1096.0,1350.0,1990.0,1149.0,413.0,4265.0,2158.0,1198.0
2020-06-13,0.340851758,0.437389771,0.412314887,0.46989721,0.391466208,0.472685349,0.356504065,0.456405261,0.274901084,0.32049948,0.424799763,0.405074901,0.621722846,0.480916031,0.528735632,0.523809524,0.492341357,0.352490421,0.593103448,0.3599836,0.434913469,0.55,22.0,1.0,4.0,2.0,5.0,2.0,5.0,1.0,18.0,9.0,1.0,7.2,1.6,4.6,5.8,4.8,2.7,5.3,1.3,6.3,6.0,1.4,329.0,22.0,50.0,61.0,66.0,32.0,59.0,8.0,271.0,102.0,12.0,5486.0,1383.0,1150.0,912.0,1490.0,1792.0,1092.0,607.0,4683.0,2090.0,630.0
2020-06-14,0.35595362,0.466431095,0.426619828,0.486417034,0.416953036,0.477643719,0.362195122,0.45054425,0.305531696,0.342525147,0.448102017,0.421229734,0.623595506,0.506361323,0.525862069,0.54954955,0.486427796,0.360153257,0.605536332,0.384173842,0.452219714,0.552083333,28.0,2.0,4.0,3.0,6.0,3.0,7.0,1.0,20.0,10.0,1.0,6.8,1.6,4.8,5.6,4.5,2.4,5.1,1.4,6.1,5.5,1.5,305.0,8.0,54.0,26.0,51.0,16.0,29.0,5.0,237.0,81.0,11.0,4664.0,904.0,1005.0,536.0,1512.0,1396.0,858.0,493.0,4357.0,1802.0,607.0
2020-06-15,0.366352084,0.48344175,0.423934298,0.51835536,0.432703322,0.48678375,0.364227642,0.480970504,0.325956425,0.362296219,0.456270382,0.439755352,0.593632959,0.486005089,0.567528736,0.567567568,0.523344191,0.367816092,0.584229391,0.407544075,0.480812641,0.55625,35.0,2.0,6.0,4.0,7.0,4.0,8.0,1.0,24.0,11.0,1.0,6.3,1.5,4.6,5.5,4.4,2.4,4.8,1.4,5.7,5.2,1.4,236.0,9.0,6.0,21.0,39.0,22.0,52.0,5.0,195.0,87.0,7.0,4487.0,722.0,261.0,549.0,1126.0,970.0,1232.0,287.0,3825.0,2057.0,778.0
2020-06-16,0.357095121,0.469943737,0.392537894,0.53671072,0.430985109,0.475075395,0.355691057,0.481109517,0.325355979,0.366631981,0.442086649,0.440293938,0.558052434,0.460559796,0.576149425,0.574002574,0.555917481,0.358237548,0.525925926,0.401394014,0.486832205,0.56875,41.0,3.0,7.0,4.0,8.0,4.0,9.0,1.0,30.0,13.0,1.0,6.2,1.6,4.5,5.3,4.3,2.3,4.6,1.4,5.5,5.0,1.5,334.0,32.0,48.0,65.0,75.0,40.0,74.0,6.0,307.0,130.0,8.0,5943.0,1265.0,1211.0,1287.0,1887.0,2284.0,1996.0,668.0,6165.0,3169.0,798.0
2020-06-17,0.341099651,0.451670115,0.379443586,0.537444934,0.405784651,0.455093003,0.365853659,0.483823529,0.312489278,0.347901492,0.42899061,0.423478795,0.563670412,0.445292621,0.593390805,0.568854569,0.549402823,0.342911877,0.503703704,0.380893809,0.475545523,0.55,41.0,3.0,6.0,4.0,8.0,4.0,10.0,1.0,28.0,12.0,2.0,5.8,1.6,4.7,5.4,4.4,2.3,4.2,1.3,5.3,4.6,0.9,233.0,22.0,58.0,46.0,57.0,51.0,40.0,7.0,225.0,101.0,17.0,4870.0,1739.0,1142.0,767.0,1555.0,2667.0,1277.0,775.0,4620.0,2807.0,1831.0
2020-06-18,0.319166296,0.43450103,0.366180982,0.505430847,0.382875143,0.435167168,0.365853659,0.466233117,0.294990564,0.32575889,0.41834648,0.413399197,0.563670412,0.440203562,0.567489115,0.557271557,0.528773073,0.331417625,0.510714286,0.350877193,0.455981941,0.539583333,42.0,3.0,5.0,4.0,7.0,4.0,9.0,2.0,26.0,11.0,2.0,5.8,1.3,4.7,5.3,4.2,2.0,3.7,1.4,5.2,4.2,1.1,299.0,14.0,46.0,55.0,75.0,30.0,49.0,11.0,220.0,80.0,34.0,5108.0,2592.0,1322.0,975.0,1717.0,1962.0,1904.0,725.0,4503.0,2295.0,2307.0
