date,region,cliAdmissions,testPositivity,positiveTests,totalTests
2020-06-11,North,1.0,6.7,60,944
2020-06-12,North,2.0,5.9,51,1096
2020-06-13,North,2.0,5.8,61,912
2020-06-14,North,3.0,5.6,26,536
2020-06-15,North,4.0,5.5,21,549
2020-06-16,North,4.0,5.3,65,1287
2020-06-17,North,4.0,5.4,46,767
2020-06-18,North,4.0,5.3,55,975
2020-06-19,North,4.0,5.6,47,679
2020-06-20,North,4.0,5.2,63,1410
2020-06-21,North,4.0,5.0,22,773
2020-06-22,North,4.0,5.1,37,651
2020-06-23,North,4.0,4.7,25,989
2020-06-24,North,3.0,4.5,50,1143
2020-06-25,North,4.0,4.1,36,1161
2020-06-26,North,4.0,3.8,46,1220
2020-06-27,North,5.0,3.6,33,954
2020-06-28,North,5.0,3.5,23,993
2020-06-29,North,5.0,3.2,35,1171
2020-06-30,North,5.0,3.4,62,1697
2020-07-01,North,5.0,3.1,25,1072
2020-07-02,North,4.0,3.2,37,1098
2020-07-03,North,4.0,3.1,36,1051
2020-07-04,North,4.0,3.1,39,1126
2020-07-05,North,4.0,3.3,36,970
2020-07-06,North,4.0,3.4,45,1335
2020-07-07,North,3.0,3.2,22,791
2020-07-08,North,4.0,3.4,40,1090
2020-07-09,North,4.0,3.7,57,1018
2020-07-10,North,4.0,3.6,32,1095
2020-07-11,North,4.0,3.9,82,1797
2020-07-12,North,4.0,3.9,58,1424
2020-07-13,North,4.0,3.8,29,1116
2020-07-14,North,4.0,3.9,46,1234
2020-07-15,North,4.0,3.8,46,1535
2020-07-16,North,4.0,3.6,60,1508
2020-07-17,North,4.0,3.6,36,1208
2020-07-18,North,5.0,3.5,46,1129
2020-07-19,North,5.0,3.5,53,1178
2020-07-20,North,5.0,3.7,29,670
2020-07-21,North,5.0,3.9,65,1315
2020-07-22,North,5.0,4.3,71,1389
2020-07-23,North,5.0,4.7,102,1711
2020-07-24,North,5.0,4.9,46,1053
2020-07-25,North,4.0,5.2,85,1322
2020-07-26,North,4.0,5.1,37,1055
2020-07-27,North,4.0,5.0,35,1019
2020-07-28,North,4.0,5.0,107,2082
2020-07-29,North,4.0,4.7,41,1371
2020-07-30,North,5.0,4.4,68,1719
2020-07-31,North,6.0,4.4,46,908
2020-08-01,North,5.0,4.3,72,1318
2020-08-02,North,5.0,4.4,34,781
2020-08-03,North,5.0,4.5,58,1290
2020-08-04,North,5.0,4.4,80,1580
2020-08-05,North,5.0,4.7,64,1474
2020-08-06,North,4.0,4.8,63,1369
2020-08-07,North,3.0,4.7,51,1258
2020-08-08,North,3.0,4.3,45,1393
2020-08-09,North,4.0,4.1,18,770
2020-08-10,North,3.0,3.9,38,1317
2020-08-11,North,3.0,3.7,50,1310
2020-08-12,North,3.0,3.4,26,1083
2020-08-13,North,2.0,3.4,69,1509
2020-08-14,North,3.0,3.4,45,1070
2020-08-15,North,3.0,3.5,37,942
2020-08-16,North,3.0,3.8,65,1545
2020-08-17,North,4.0,4.1,63,1260
2020-08-18,North,3.0,4.5,133,2368
2020-08-19,North,3.0,4.8,64,1169
2020-08-20,North,3.0,4.8,59,1255
2020-08-21,North,3.0,4.9,54,1233
2020-08-22,North,3.0,5.0,91,1679
2020-08-23,North,4.0,5.0,37,1008
2020-08-24,North,4.0,4.9,57,1360
2020-08-25,North,3.0,5.1,108,1570
2020-08-26,North,4.0,5.1,53,897
2020-08-27,North,3.0,5.0,34,892
2020-08-28,North,4.0,5.4,87,1320
2020-08-29,North,3.0,5.5,71,1053
2020-08-30,North,3.0,5.8,62,1000
2020-08-31,North,4.0,6.3,60,796
2020-09-01,North,5.0,6.3,58,766
2020-09-02,North,5.0,6.6,65,824
2020-09-03,North,5.0,5.7,350,7556
2020-09-04,North,5.0,5.7,133,1908
2020-09-05,North,6.0,5.7,108,1810
2020-09-06,North,6.0,5.7,89,1470
2020-09-07,North,5.0,5.6,55,896
2020-09-08,North,4.0,5.6,81,1247
2020-09-09,North,4.0,5.6,80,1179
2020-09-10,North,4.0,6.4,129,2020
2020-09-11,North,4.0,6.3,75,1230
2020-09-12,North,4.0,6.2,82,1538
2020-09-13,North,3.0,6.1,104,1906
2020-09-14,North,4.0,5.9,85,1570
2020-09-15,North,4.0,6.4,176,1919
2020-09-16,North,4.0,6.7,176,2105
2020-09-17,North,4.0,6.7,107,1792
2020-09-18,North,4.0,7.1,247,2935
2020-09-19,North,3.0,7.3,117,1668
2020-09-20,North,3.0,7.5,139,2031
2020-09-21,North,4.0,7.7,159,2161
2020-09-22,North,4.0,7.6,139,1646
2020-09-23,North,5.0,7.7,219,2385
2020-09-24,North,5.0,7.9,233,2943
2020-09-25,North,6.0,8.0,240,2837
2020-09-26,North,7.0,8.3,232,2377
2020-09-27,North,7.0,8.4,149,2015
2020-09-28,North,7.0,8.2,109,1824
2020-09-29,North,7.0,8.7,283,2550
2020-09-30,North,7.0,8.7,260,2834
2020-10-01,North,8.0,8.7,283,3520
2020-10-02,North,8.0,8.5,267,3466
2020-10-03,North,9.0,8.5,252,2571
2020-10-04,North,9.0,8.6,160,2102
2020-10-05,North,9.0,8.8,202,2317
2020-10-06,North,9.0,8.8,222,1844
2020-10-07,North,9.0,8.9,367,3852
2020-10-08,North,9.0,9.1,359,3871
2020-10-09,North,10.0,9.7,361,3281
2020-10-10,North,9.0,9.6,308,3348
2020-10-11,North,9.0,10.1,260,2146
2020-10-12,North,10.0,10.3,267,2439
2020-10-13,North,11.0,10.6,371,2674
2020-10-14,North,12.0,11.0,398,3458
2020-10-15,North,12.0,11.1,360,3516
2020-10-16,North,12.0,11.1,371,3499
2020-10-17,North,12.0,11.8,653,4891
2020-10-18,North,12.0,11.6,260,2602
2020-10-19,North,12.0,11.9,364,2651
2020-10-20,North,13.0,11.7,305,2457
2020-10-21,North,14.0,12.2,553,3911
2020-10-22,North,14.0,12.7,465,3467
2020-10-23,North,15.0,12.8,459,4000
2020-10-24,North,14.0,12.5,456,3823
2020-10-25,North,15.0,13.0,375,2670
2020-10-26,North,14.0,12.9,332,2482
2020-10-27,North,14.0,13.2,467,3108
2020-10-28,North,15.0,13.6,688,4231
2020-10-29,North,16.0,13.5,553,4276
2020-10-30,North,16.0,14.6,831,4785
2020-10-31,North,20.0,15.3,693,4205
2020-11-01,North,21.0,15.7,543,3051
2020-11-02,North,23.0,15.8,633,4268
2020-11-03,North,24.0,15.8,469,3055
2020-11-04,North,25.0,16.1,797,4349
2020-11-05,North,26.0,16.8,730,4167
2020-11-06,North,27.0,17.6,1148,5467
2020-11-07,North,24.0,18.2,888,4181
2020-11-08,North,26.0,18.3,543,2916
2020-11-09,North,28.0,18.9,944,5068
2020-11-10,North,28.0,19.4,831,4168
2020-11-11,North,29.0,19.9,795,3507
2020-11-12,North,28.0,20.9,899,3693
2020-11-13,North,30.0,20.5,796,4246
2020-11-14,North,31.0,20.0,744,4095
2020-11-15,North,30.0,19.9,781,4297
2020-11-16,North,28.0,19.5,553,3717
2020-11-17,North,29.0,19.0,451,2837
2020-11-18,North,30.0,18.2,790,4699
2020-11-19,North,30.0,17.1,612,3816
2020-11-20,North,29.0,16.6,793,4946
2020-11-21,North,30.0,16.3,672,4312
2020-11-22,North,31.0,15.8,461,3137
2020-11-23,North,29.0,15.4,642,5002
2020-11-24,North,29.0,15.2,579,4018
2020-11-25,North,28.0,15.1,663,4102
2020-11-26,North,26.0,15.3,535,2855
2020-11-27,North,25.0,15.0,544,3810
2020-11-28,North,22.0,14.8,484,3462
2020-11-29,North,21.0,15.0,440,2610
2020-11-30,North,20.0,15.4,525,3700
2020-12-01,North,20.0,15.3,364,2752
2020-12-02,North,19.0,15.3,588,3585
2020-12-03,North,21.0,14.7,880,6074
2020-12-04,North,21.0,14.7,542,3812
2020-12-05,North,20.0,14.9,487,3098
2020-12-06,North,21.0,14.6,375,2696
2020-12-07,North,24.0,14.2,469,4131
2020-12-08,North,23.0,13.8,376,3588
2020-12-09,North,23.0,12.9,508,4881
2020-12-10,North,22.0,12.1,655,5890
2020-12-11,North,21.0,11.1,723,7975
2020-12-12,North,21.0,10.7,349,3133
2020-12-13,North,20.0,10.6,417,3434
2020-12-14,North,18.0,10.4,373,3817
2020-12-15,North,19.0,9.9,325,4809
2020-12-16,North,18.0,9.8,456,4533
2020-12-17,North,17.0,9.6,472,4623
2020-12-18,North,16.0,9.6,335,3954
2020-12-19,North,17.0,9.4,299,3336
2020-12-20,North,17.0,9.1,349,3703
2020-12-21,North,16.0,8.8,232,3025
2020-12-22,North,17.0,9.3,324,3354
2020-12-23,North,18.0,9.1,335,3712
2020-12-24,North,17.0,8.7,356,4673
2020-12-25,North,16.0,8.7,235,2604
2020-12-26,North,16.0,8.9,208,1968
2020-12-27,North,15.0,9.1,223,1677
2020-12-28,North,14.0,9.5,304,2931
2020-12-29,North,15.0,8.9,161,2818
2020-12-30,North,14.0,9.2,445,4429
2020-12-31,North,14.0,10.0,441,3690
2021-01-01,North,14.0,10.3,291,2558
