date,region,cliAdmissions,testPositivity,positiveTests,totalTests,surge,icu
2020-06-11T00:00:00,1,1.0,6.7,60,944,,
2020-06-11T00:00:00,2,1.0,2.7,70,1913,,
2020-06-11T00:00:00,3,0.0,1.6,12,1843,,
2020-06-11T00:00:00,4,3.0,4.4,31,924,,
2020-06-11T00:00:00,5,0.0,1.6,5,472,,
2020-06-11T00:00:00,6,0.0,1.7,21,1224,,
2020-06-11T00:00:00,7,3.0,5.9,76,1492,,
2020-06-11T00:00:00,8,5.0,7.0,136,2381,,
2020-06-11T00:00:00,9,3.0,5.5,101,1986,,
2020-06-11T00:00:00,10,10.0,7.3,271,5204,,
2020-06-11T00:00:00,11,11.0,8.6,349,5454,,
2020-06-11T00:00:00,14,0.0,1.7,21,1224,,
2020-06-12T00:00:00,1,2.0,5.9,51,1096,,
2020-06-12T00:00:00,2,2.0,2.8,69,1990,,
2020-06-12T00:00:00,3,1.0,1.3,4,1198,,
2020-06-12T00:00:00,4,3.0,4.9,51,627,,
2020-06-12T00:00:00,5,1.0,1.5,13,413,,
2020-06-12T00:00:00,6,1.0,1.6,20,1012,,
2020-06-12T00:00:00,7,4.0,5.4,50,1149,,
2020-06-12T00:00:00,8,7.0,6.5,113,2158,,
2020-06-12T00:00:00,9,4.0,5.3,88,1350,,
2020-06-12T00:00:00,10,15.0,6.6,234,4265,,
2020-06-12T00:00:00,11,16.0,7.7,307,4952,,
2020-06-12T00:00:00,14,0.0,1.6,20,1012,,
2020-06-13T00:00:00,1,2.0,5.8,61,912,0.46989721,0.528735632
2020-06-13T00:00:00,2,2.0,2.7,32,1792,0.472685349,0.492341357
2020-06-13T00:00:00,3,1.0,1.4,12,630,0.424799763,0.55
2020-06-13T00:00:00,4,4.0,4.6,50,1150,0.412314887,0.480916031
2020-06-13T00:00:00,5,1.0,1.3,8,607,0.456405261,0.593103448
2020-06-13T00:00:00,6,1.0,1.6,22,1383,0.437389771,0.621722846
2020-06-13T00:00:00,7,5.0,5.3,59,1092,0.356504065,0.352490421
2020-06-13T00:00:00,8,9.0,6.0,102,2090,0.32049948,0.434913469
2020-06-13T00:00:00,9,5.0,4.8,66,1490,0.391466208,0.523809524
2020-06-13T00:00:00,10,18.0,6.3,271,4683,0.274901084,0.3599836
2020-06-13T00:00:00,11,22.0,7.2,329,5486,0.340851758,0.405074901
2020-06-13T00:00:00,14,0.0,1.6,22,1383,,
2020-06-14T00:00:00,1,3.0,5.6,26,536,0.486417034,0.525862069
2020-06-14T00:00:00,2,3.0,2.4,16,1396,0.477643719,0.486427796
2020-06-14T00:00:00,3,1.0,1.5,11,607,0.448102017,0.552083333
2020-06-14T00:00:00,4,4.0,4.8,54,1005,0.426619828,0.506361323
2020-06-14T00:00:00,5,1.0,1.4,5,493,0.45054425,0.605536332
2020-06-14T00:00:00,6,2.0,1.6,8,904,0.466431095,0.623595506
2020-06-14T00:00:00,7,7.0,5.1,29,858,0.362195122,0.360153257
2020-06-14T00:00:00,8,10.0,5.5,81,1802,0.342525147,0.452219714
2020-06-14T00:00:00,9,6.0,4.5,51,1512,0.416953036,0.54954955
2020-06-14T00:00:00,10,20.0,6.1,237,4357,0.305531696,0.384173842
2020-06-14T00:00:00,11,28.0,6.8,305,4664,0.35595362,0.421229734
