county,region,population
Adams,West-Central,65435
Alexander,Southern,5761
Bond,Metro East,16426
Boone,North,53544
Brown,West-Central,6578
Bureau,North-Central,32628
Calhoun,West-Central,4739
Carroll,North,14305
Cass,West-Central,12147
Champaign,East-Central,209689
Chicago,City of Chicago,2706000
Christian,West-Central,32304
Clark,East-Central,15441
Clay,East-Central,13184
Clinton,Metro East,37562
Coles,East-Central,50621
Cook,Suburban Cook,2444233
Crawford,East-Central,18667
Cumberland,East-Central,10766
De Witt,East-Central,15638
DeKalb,North,104897
Douglas,East-Central,19465
DuPage,West Suburban,922921
Edgar,East-Central,17161
Edwards,Southern,6395
Effingham,East-Central,34008
Fayette,East-Central,21336
Ford,East-Central,12961
Franklin,Southern,38469
Fulton,North-Central,34340
Gallatin,Southern,4828
Greene,West-Central,12969
Grundy,North-Central,51054
Hamilton,Southern,8116
Hancock,West-Central,17708
Hardin,Southern,3821
Henderson,North-Central,6646
Henry,North-Central,48913
Illinois,Illinois,12600000
Iroquois,East-Central,27114
Jackson,Southern,56750
Jasper,East-Central,9610
Jefferson,Southern,37684
Jersey,West-Central,21773
Jo Daviess,North,21235
Johnson,Southern,12417
Kane,West Suburban,532403
Kankakee,South Suburban,109862
Kendall,North-Central,128990
Knox,North-Central,49699
La Salle,North-Central,49699
Lake,North Suburban,696535
Lawrence,East-Central,15678
Lee,North,34096
Livingston,North-Central,35648
Logan,West-Central,28618
Macon,East-Central,104009
Macoupin,West-Central,44926
Madison,Metro East,262966
Marion,Southern,37205
Marshall,North-Central,11438
Mason,West-Central,13359
Massac,Southern,13772
McDonough,North-Central,29682
McHenry,North Suburban,307774
McLean,North-Central,171517
Menard,West-Central,12196
Mercer,North-Central,15437
Monroe,Metro East,34637
Montgomery,West-Central,28414
Morgan,West-Central,33658
Moultrie,East-Central,14501
Ogle,North,50643
Peoria,North-Central,179179
Perry,Southern,20916
Piatt,East-Central,16344
Pike,West-Central,15561
Pope,Southern,4177
Pulaski,Southern,5335
Putnam,North-Central,5739
Randolph,Metro East,31782
Richland,East-Central,15513
Rock Island,North-Central,141879
Saline,Southern,23491
Sangamon,West-Central,194672
Schuyler,West-Central,6768
Scott,West-Central,4951
Shelby,East-Central,21634
St. Clair,Metro East,259686
Stark,North-Central,5342
Stephenson,North,44498
Tazewell,North-Central,131803
Union,Southern,16653
Vermillion,East-Central,75758
Wabash,Southern,11520
Warren,North-Central,16844
Washington,Metro East,13887
Wayne,Southern,16215
White,Southern,13537
Whiteside,North,55175
Will,South Suburban,690743
Williamson,Southern,66597
Winnebago,North,282572
Woodford,North-Central,38459
