county,region,population
Adams,South,65435
Alexander,South,5761
Bond,South,16426
Boone,North,53544
Brown,South,6578
Bureau,South,32628
Calhoun,South,4739
Carroll,North,14305
Cass,South,12147
Champaign,South,209689
Chicago,North,2706000
Christian,South,32304
Clark,South,15441
Clay,South,13184
Clinton,South,37562
Coles,South,50621
Cook,North,2444233
Crawford,South,18667
Cumberland,South,10766
De Witt,South,15638
DeKalb,North,104897
Douglas,South,19465
DuPage,North,922921
Edgar,South,17161
Edwards,South,6395
Effingham,South,34008
Fayette,South,21336
Ford,South,12961
Franklin,South,38469
Fulton,South,34340
Gallatin,South,4828
Greene,South,12969
Grundy,South,51054
Hamilton,South,8116
Hancock,South,17708
Hardin,South,3821
Henderson,South,6646
Henry,South,48913
Illinois,Illinois,12600000
Iroquois,South,27114
Jackson,South,56750
Jasper,South,9610
Jefferson,South,37684
Jersey,South,21773
Jo Daviess,North,21235
Johnson,South,12417
Kane,North,532403
Kankakee,North,109862
Kendall,South,128990
Knox,South,49699
LaSalle,South,49699
Lake,North,696535
Lawrence,South,15678
Lee,North,34096
Livingston,South,35648
Logan,South,28618
Macon,South,104009
Macoupin,South,44926
Madison,South,262966
Marion,South,37205
Marshall,South,11438
Mason,South,13359
Massac,South,13772
McDonough,South,29682
McHenry,North,307774
McLean,South,171517
Menard,South,12196
Mercer,South,15437
Monroe,South,34637
Montgomery,South,28414
Morgan,South,33658
Moultrie,South,14501
Ogle,North,50643
Peoria,South,179179
Perry,South,20916
Piatt,South,16344
Pike,South,15561
Pope,South,4177
Pulaski,South,5335
Putnam,South,5739
Randolph,South,31782
Richland,South,15513
Rock Island,South,141879
Saline,South,23491
Sangamon,South,194672
Schuyler,South,6768
Scott,South,4951
Shelby,South,21634
St. Clair,South,259686
Stark,South,5342
Stephenson,North,44498
Tazewell,South,131803
Union,South,16653
Vermilion,South,75758
Wabash,South,11520
Warren,South,16844
Washington,South,13887
Wayne,South,16215
White,South,13537
Whiteside,North,55175
Will,North,690743
Williamson,South,66597
Winnebago,North,282572
Woodford,South,38459
