,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,totalTestResultsIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,hospitalizedIncrease,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,statename,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,worst_date,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million,deaths_per_million
state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,,,,,,,,,,,,,6892503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7614893.0,,,,,,,,,,,,,,,,,,,,,,,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,150.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.285714285714285,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
