,date,TotalBeds,TotalBeds_change,TotalBeds_change_7day,TotalBeds_change_14day,TotalBeds_7day,TotalBeds_14day,TotalOpenBeds,TotalOpenBeds_change,TotalOpenBeds_change_7day,TotalOpenBeds_change_14day,TotalOpenBeds_7day,TotalOpenBeds_14day,TotalInUseBedsNonCOVID,TotalInUseBedsNonCOVID_change,TotalInUseBedsNonCOVID_change_7day,TotalInUseBedsNonCOVID_change_14day,TotalInUseBedsNonCOVID_7day,TotalInUseBedsNonCOVID_14day,TotalInUseBedsCOVID,TotalInUseBedsCOVID_change,TotalInUseBedsCOVID_change_7day,TotalInUseBedsCOVID_change_14day,TotalInUseBedsCOVID_7day,TotalInUseBedsCOVID_14day,ICUBeds,ICUBeds_change,ICUBeds_change_7day,ICUBeds_change_14day,ICUBeds_7day,ICUBeds_14day,ICUOpenBeds,ICUOpenBeds_change,ICUOpenBeds_change_7day,ICUOpenBeds_change_14day,ICUOpenBeds_7day,ICUOpenBeds_14day,ICUInUseBedsNonCOVID,ICUInUseBedsNonCOVID_change,ICUInUseBedsNonCOVID_change_7day,ICUInUseBedsNonCOVID_change_14day,ICUInUseBedsNonCOVID_7day,ICUInUseBedsNonCOVID_14day,ICUInUseBedsCOVID,ICUInUseBedsCOVID_change,ICUInUseBedsCOVID_change_7day,ICUInUseBedsCOVID_change_14day,ICUInUseBedsCOVID_7day,ICUInUseBedsCOVID_14day,VentilatorCapacity,VentilatorCapacity_change,VentilatorCapacity_change_7day,VentilatorCapacity_change_14day,VentilatorCapacity_7day,VentilatorCapacity_14day,VentilatorAvailable,VentilatorAvailable_change,VentilatorAvailable_change_7day,VentilatorAvailable_change_14day,VentilatorAvailable_7day,VentilatorAvailable_14day,VentilatorInUseNonCOVID,VentilatorInUseNonCOVID_change,VentilatorInUseNonCOVID_change_7day,VentilatorInUseNonCOVID_change_14day,VentilatorInUseNonCOVID_7day,VentilatorInUseNonCOVID_14day,VentilatorInUseCOVID,VentilatorInUseCOVID_change,VentilatorInUseCOVID_change_7day,VentilatorInUseCOVID_change_14day,VentilatorInUseCOVID_7day,VentilatorInUseCOVID_14day
0,2020-04-12,29994,,,,,,11559,,,,,,14297,,,,,,4138,,,,,,2991,,,,,,954,,,,,,878,,,,,,1159,,,,,,3079,,,,,,1759,,,,,,520,,,,,,800,,,,,
1,2020-04-13,30134,140.0,,,,,11098,-461.0,,,,,14753,456.0,,,,,4283,145.0,,,,,2987,-4.0,,,,,988,34.0,,,,,810,-68.0,,,,,1189,30.0,,,,,3140,61.0,,,,,1737,-22.0,,,,,607,87.0,,,,,796,-4.0,,,,
2,2020-04-14,30178,44.0,,,,,11132,34.0,,,,,14628,-125.0,,,,,4418,135.0,,,,,2997,10.0,,,,,927,-61.0,,,,,885,75.0,,,,,1185,-4.0,,,,,3196,56.0,,,,,1960,223.0,,,,,472,-135.0,,,,,764,-32.0,,,,
3,2020-04-15,30322,144.0,,,,,11540,408.0,,,,,14359,-269.0,,,,,4423,5.0,,,,,2995,-2.0,,,,,914,-13.0,,,,,833,-52.0,,,,,1248,63.0,,,,,3194,-2.0,,,,,1960,0.0,,,,,437,-35.0,,,,,797,33.0,,,,
4,2020-04-16,30276,-46.0,,,,,11464,-76.0,,,,,14297,-62.0,,,,,4515,92.0,,,,,2979,-16.0,,,,,912,-2.0,,,,,871,38.0,,,,,1196,-52.0,,,,,3213,19.0,,,,,1916,-44.0,,,,,520,83.0,,,,,777,-20.0,,,,
5,2020-04-17,30911,635.0,,,,,11184,-280.0,,,,,15355,1058.0,,,,,4372,-143.0,,,,,3140,161.0,,,,,873,-39.0,,,,,1075,204.0,,,,,1192,-4.0,,,,,3269,56.0,,,,,1912,-4.0,,,,,619,99.0,,,,,738,-39.0,,,,
6,2020-04-18,30798,-113.0,,,30373.285714285714,,11383,199.0,,,11337.142857142857,,15101,-254.0,,,14684.285714285714,,4314,-58.0,,,4351.857142857143,,3115,-25.0,,,3029.1428571428573,,956,83.0,,,932.0,,963,-112.0,,,902.1428571428571,,1196,4.0,,,1195.0,,3260,-9.0,,,3193.0,,1882,-30.0,,,1875.142857142857,,629,10.0,,,543.4285714285714,,749,11.0,,,774.4285714285714,
7,2020-04-19,30830,32.0,119.42857142857143,,30492.714285714286,,11430,47.0,-18.428571428571427,,11318.714285714286,,14800,-301.0,71.85714285714286,,14756.142857142857,,4600,286.0,66.0,,4417.857142857143,,3134,19.0,20.428571428571427,,3049.5714285714284,,945,-11.0,-1.2857142857142858,,930.7142857142857,,950,-13.0,10.285714285714286,,912.4285714285714,,1239,43.0,11.428571428571429,,1206.4285714285713,,3256,-4.0,25.285714285714285,,3218.285714285714,,1903,21.0,20.571428571428573,,1895.7142857142858,,596,-33.0,10.857142857142858,,554.2857142857143,,757,8.0,-6.142857142857143,,768.2857142857143,
8,2020-04-20,31190,360.0,150.85714285714286,,30643.571428571428,,11181,-249.0,11.857142857142858,,11330.57142857143,,15233,433.0,68.57142857142857,,14824.714285714286,,4776,176.0,70.42857142857143,,4488.285714285715,,3145,11.0,22.571428571428573,,3072.1428571428573,,924,-21.0,-9.142857142857142,,921.5714285714286,,995,45.0,26.428571428571427,,938.8571428571429,,1226,-13.0,5.285714285714286,,1211.7142857142858,,3219,-37.0,11.285714285714286,,3229.5714285714284,,1893,-10.0,22.285714285714285,,1918.0,,545,-51.0,-8.857142857142858,,545.4285714285714,,781,24.0,-2.142857142857143,,766.1428571428571,
9,2020-04-21,31291,101.0,159.0,,30802.571428571428,,10926,-255.0,-29.428571428571427,,11301.142857142857,,15675,442.0,149.57142857142858,,14974.285714285714,,4690,-86.0,38.857142857142854,,4527.142857142857,,3141,-4.0,20.571428571428573,,3092.714285714286,,914,-10.0,-1.8571428571428572,,919.7142857142857,,1007,12.0,17.428571428571427,,956.2857142857143,,1220,-6.0,5.0,,1216.7142857142858,,3251,32.0,7.857142857142857,,3237.4285714285716,,1925,32.0,-5.0,,1913.0,,579,34.0,15.285714285714286,,560.7142857142857,,747,-34.0,-2.4285714285714284,,763.7142857142857,
10,2020-04-22,31204,-87.0,126.0,,30928.571428571428,,10657,-269.0,-126.14285714285714,,11175.0,,15667,-8.0,186.85714285714286,,15161.142857142857,,4880,190.0,65.28571428571429,,4592.428571428572,,3155,14.0,22.857142857142858,,3115.5714285714284,,897,-17.0,-2.4285714285714284,,917.2857142857143,,990,-17.0,22.428571428571427,,978.7142857142857,,1268,48.0,2.857142857142857,,1219.5714285714287,,3266,15.0,10.285714285714286,,3247.714285714286,,1912,-13.0,-6.857142857142857,,1906.142857142857,,588,9.0,21.571428571428573,,582.2857142857143,,766,19.0,-4.428571428571429,,759.2857142857143,
