,count,count,count,tested,tested,tested,7daypos100k,7daypos100k,7daypos100k,percentage,percentage,percentage,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,7daypos100k_14day,7daypos100k_14day,7daypos100k_14day,population,population,population
zip,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,11,84,32,50,512,226,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-20,11,85,33,52,516,232,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-21,11,87,34,54,536,238,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-22,12,89,34,57,561,251,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-23,12,94,37,58,582,266,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-24,12,98,39,61,608,277,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-25,12,100,38,63,644,302,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-26,12,101,41,64,662,319,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-27,12,102,44,67,679,331,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-28,13,105,46,69,718,350,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-29,14,110,46,75,750,366,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-30,14,114,46,77,797,388,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-01,15,121,46,79,799,384,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-02,15,125,48,82,830,398,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-03,15,127,48,83,873,426,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-04,16,130,48,85,907,438,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-05,16,134,49,90,935,452,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-06,16,136,49,94,962,460,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-07,16,138,51,96,992,476,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-08,16,139,52,97,1037,497,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-09,16,141,55,99,1053,510,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-10,16,142,56,99,1073,522,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-11,17,145,57,101,1092,528,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-12,17,151,57,109,1172,541,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-13,18,156,60,116,1192,547,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-14,18,161,61,119,1217,556,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-15,18,168,61,135,1336,615,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-16,19,171,62,139,1385,629,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-17,20,174,62,143,1407,640,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-18,20,177,62,147,1444,654,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-19,21,178,64,148,1476,666,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-20,21,180,64,157,1555,700,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-21,21,182,64,159,1708,726,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-22,21,186,69,164,1790,763,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-23,21,189,69,169,1840,783,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-24,22,192,69,175,1885,807,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-25,22,196,69,178,1923,819,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-26,22,198,69,180,1960,830,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-27,22,199,70,183,1999,840,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
