,count,count,count,tested,tested,tested,7daypos100k,7daypos100k,7daypos100k,percentage,percentage,percentage,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,7daypos100k_14day,7daypos100k_14day,7daypos100k_14day,population,population,population
zip,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-20,0.0,1.0,1.0,2.0,4.0,6.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-21,0.0,2.0,1.0,2.0,20.0,6.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-22,1.0,2.0,0.0,3.0,25.0,13.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-23,0.0,5.0,3.0,1.0,21.0,15.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-24,0.0,4.0,2.0,3.0,26.0,11.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-25,0.0,2.0,-1.0,2.0,36.0,25.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-26,0.0,1.0,3.0,1.0,18.0,17.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-27,0.0,1.0,3.0,3.0,17.0,12.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-28,1.0,3.0,2.0,2.0,39.0,19.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-29,1.0,5.0,0.0,6.0,32.0,16.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-04-30,0.0,4.0,0.0,2.0,47.0,22.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-01,1.0,7.0,0.0,2.0,2.0,-4.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-02,0.0,4.0,2.0,3.0,31.0,14.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-03,0.0,2.0,0.0,1.0,43.0,28.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-04,1.0,3.0,0.0,2.0,34.0,12.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-05,0.0,4.0,1.0,5.0,28.0,14.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-06,0.0,2.0,0.0,4.0,27.0,8.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-07,0.0,2.0,2.0,2.0,30.0,16.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-08,0.0,1.0,1.0,1.0,45.0,21.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-09,0.0,2.0,3.0,2.0,16.0,13.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-10,0.0,1.0,1.0,0.0,20.0,12.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-11,1.0,3.0,1.0,2.0,19.0,6.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-12,0.0,6.0,0.0,8.0,80.0,13.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-13,1.0,5.0,3.0,7.0,20.0,6.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-14,0.0,5.0,1.0,3.0,25.0,9.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-15,0.0,7.0,0.0,16.0,119.0,59.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-16,1.0,3.0,1.0,4.0,49.0,14.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-17,1.0,3.0,0.0,4.0,22.0,11.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-18,0.0,3.0,0.0,4.0,37.0,14.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-19,1.0,1.0,2.0,1.0,32.0,12.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-20,0.0,2.0,0.0,9.0,79.0,34.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-21,0.0,2.0,0.0,2.0,153.0,26.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
