,count,count,count,tested,tested,tested,7daypos100k,7daypos100k,7daypos100k,percentage,percentage,percentage,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,7daypos100k_14day,7daypos100k_14day,7daypos100k_14day,Unknown tested,Unknown tested,Unknown tested,Unknown count,Unknown count,Unknown count,Unknown percentage,Unknown percentage,Unknown percentage,<20 tested,<20 tested,<20 tested,<20 count,<20 count,<20 count,<20 percentage,<20 percentage,<20 percentage,20-29 tested,20-29 tested,20-29 tested,20-29 count,20-29 count,20-29 count,20-29 percentage,20-29 percentage,20-29 percentage,30-39 tested,30-39 tested,30-39 tested,30-39 count,30-39 count,30-39 count,30-39 percentage,30-39 percentage,30-39 percentage,40-49 tested,40-49 tested,40-49 tested,40-49 count,40-49 count,40-49 count,40-49 percentage,40-49 percentage,40-49 percentage,50-59 tested,50-59 tested,50-59 tested,50-59 count,50-59 count,50-59 count,50-59 percentage,50-59 percentage,50-59 percentage,60-69 tested,60-69 tested,60-69 tested,60-69 count,60-69 count,60-69 count,60-69 percentage,60-69 percentage,60-69 percentage,70-79 tested,70-79 tested,70-79 tested,70-79 count,70-79 count,70-79 count,70-79 percentage,70-79 percentage,70-79 percentage,80+ tested,80+ tested,80+ tested,80+ count,80+ count,80+ count,80+ percentage,80+ percentage,80+ percentage,Unknown tested_14day,Unknown tested_14day,Unknown tested_14day,Unknown count_14day,Unknown count_14day,Unknown count_14day,Unknown percentage_14day,Unknown percentage_14day,Unknown percentage_14day,<20 tested_14day,<20 tested_14day,<20 tested_14day,<20 count_14day,<20 count_14day,<20 count_14day,<20 percentage_14day,<20 percentage_14day,<20 percentage_14day,20-29 tested_14day,20-29 tested_14day,20-29 tested_14day,20-29 count_14day,20-29 count_14day,20-29 count_14day,20-29 percentage_14day,20-29 percentage_14day,20-29 percentage_14day,30-39 tested_14day,30-39 tested_14day,30-39 tested_14day,30-39 count_14day,30-39 count_14day,30-39 count_14day,30-39 percentage_14day,30-39 percentage_14day,30-39 percentage_14day,40-49 tested_14day,40-49 tested_14day,40-49 tested_14day,40-49 count_14day,40-49 count_14day,40-49 count_14day,40-49 percentage_14day,40-49 percentage_14day,40-49 percentage_14day,50-59 tested_14day,50-59 tested_14day,50-59 tested_14day,50-59 count_14day,50-59 count_14day,50-59 count_14day,50-59 percentage_14day,50-59 percentage_14day,50-59 percentage_14day,60-69 tested_14day,60-69 tested_14day,60-69 tested_14day,60-69 count_14day,60-69 count_14day,60-69 count_14day,60-69 percentage_14day,60-69 percentage_14day,60-69 percentage_14day,70-79 tested_14day,70-79 tested_14day,70-79 tested_14day,70-79 count_14day,70-79 count_14day,70-79 count_14day,70-79 percentage_14day,70-79 percentage_14day,70-79 percentage_14day,80+ tested_14day,80+ tested_14day,80+ tested_14day,80+ count_14day,80+ count_14day,80+ count_14day,80+ percentage_14day,80+ percentage_14day,80+ percentage_14day,population,population,population
zip,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,11.0,84.0,32.0,50.0,512.0,226.0,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,23.0,11.0,0.0,0.0,0.0,0,0,0,0.0,52.0,17.0,0.0,0.0,0.0,0,0,0,18.0,95.0,62.0,0.0,9.0,9.0,0,0,0,9.0,106.0,64.0,0.0,13.0,9.0,0,0,0,12.0,102.0,37.0,0.0,19.0,0.0,0,0,0,10.0,100.0,41.0,0.0,14.0,6.0,0,0,0,7.0,66.0,23.0,0.0,10.0,0.0,0,0,0,0.0,52.0,0.0,0.0,13.0,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
2020-04-20,11.2,86.8,33.4,52.2,531.2,236.2,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,24.0,11.4,0.0,0.0,0.0,0,0,0,0.0,52.6,17.0,0.0,0.0,0.0,0,0,0,17.8,97.2,62.0,0.0,9.2,9.4,0,0,0,9.0,106.2,63.0,0.0,13.6,9.2,0,0,0,11.6,101.6,40.0,0.0,19.6,0.0,0,0,0,10.0,99.2,42.2,0.0,14.2,6.2,0,0,0,6.8,65.6,22.8,0.0,10.6,1.2,0,0,0,0.0,52.0,0.0,0.0,13.6,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
2020-04-21,11.4,89.6,34.8,54.4,550.4,246.4,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,25.0,11.8,0.0,0.0,0.0,0,0,0,0.0,53.2,17.0,0.0,0.0,0.0,0,0,0,17.6,99.4,62.0,0.0,9.4,9.8,0,0,0,9.0,106.4,62.0,0.0,14.2,9.4,0,0,0,11.2,101.2,43.0,0.0,20.2,0.0,0,0,0,10.0,98.4,43.4,0.0,14.4,6.4,0,0,0,6.6,65.2,22.6,0.0,11.2,2.4,0,0,0,0.0,52.0,0.0,0.0,14.2,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
2020-04-22,11.6,92.4,36.2,56.6,569.6,256.6,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,26.0,12.2,0.0,0.0,0.0,0,0,0,0.0,53.8,17.0,0.0,0.0,0.0,0,0,0,17.4,101.6,62.0,0.0,9.6,10.2,0,0,0,9.0,106.6,61.0,0.0,14.8,9.6,0,0,0,10.8,100.8,46.0,0.0,20.8,0.0,0,0,0,10.0,97.6,44.6,0.0,14.6,6.6,0,0,0,6.4,64.8,22.4,0.0,11.8,3.5999999999999996,0,0,0,0.0,52.0,0.0,0.0,14.8,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
2020-04-23,11.8,95.2,37.6,58.8,588.8,266.8,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,27.0,12.6,0.0,0.0,0.0,0,0,0,0.0,54.4,17.0,0.0,0.0,0.0,0,0,0,17.2,103.8,62.0,0.0,9.8,10.6,0,0,0,9.0,106.8,60.0,0.0,15.4,9.8,0,0,0,10.4,100.4,49.0,0.0,21.4,0.0,0,0,0,10.0,96.8,45.8,0.0,14.8,6.8,0,0,0,6.2,64.4,22.2,0.0,12.4,4.8,0,0,0,0.0,52.0,0.0,0.0,15.4,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
2020-04-24,12.0,98.0,39.0,61.0,608.0,277.0,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,28.0,13.0,0.0,0.0,0.0,0,0,0,0.0,55.0,17.0,0.0,0.0,0.0,0,0,0,17.0,106.0,62.0,0.0,10.0,11.0,0,0,0,9.0,107.0,59.0,0.0,16.0,10.0,0,0,0,10.0,100.0,52.0,0.0,22.0,0.0,0,0,0,10.0,96.0,47.0,0.0,15.0,7.0,0,0,0,6.0,64.0,22.0,0.0,13.0,6.0,0,0,0,0.0,52.0,0.0,0.0,16.0,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
2020-04-25,12.0,99.33333333333333,40.666666666666664,63.0,631.6666666666666,295.0,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,29.0,13.333333333333334,0.0,0.0,0.0,0,0,0,0.0,57.333333333333336,19.333333333333332,0.0,0.0,0.0,0,0,0,17.666666666666668,109.66666666666667,65.0,0.0,10.0,11.0,0,0,0,9.333333333333334,110.0,62.0,0.0,16.666666666666668,10.333333333333334,0,0,0,10.333333333333334,102.66666666666667,57.0,0.0,22.0,0.0,0,0,0,10.0,101.66666666666667,49.333333333333336,0.0,15.666666666666666,7.0,0,0,0,6.666666666666667,68.33333333333333,23.666666666666668,0.0,13.0,6.333333333333333,0,0,0,0.0,53.0,2.0,0.0,16.0,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
2020-04-26,12.0,100.66666666666667,42.333333333333336,65.0,655.3333333333334,313.0,,,,0,0,0,,,,,,,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,30.0,13.666666666666666,0.0,0.0,0.0,0,0,0,0.0,59.666666666666664,21.666666666666668,0.0,0.0,0.0,0,0,0,18.333333333333332,113.33333333333333,68.0,0.0,10.0,11.0,0,0,0,9.666666666666666,113.0,65.0,0.0,17.333333333333332,10.666666666666666,0,0,0,10.666666666666666,105.33333333333333,62.0,0.0,22.0,0.0,0,0,0,10.0,107.33333333333333,51.666666666666664,0.0,16.333333333333332,7.0,0,0,0,7.333333333333333,72.66666666666667,25.333333333333332,0.0,13.0,6.666666666666667,0,0,0,0.0,54.0,4.0,0.0,16.0,0.0,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,2536.0,32048.0,17641.0
