statename,2020-12-10
Alabama,625.9051150280015
Arizona,718.3663981283673
Arkansas,620.8156659610763
California,527.0448662358048
Colorado,748.0808288485529
Connecticut,677.7054093301005
Delaware,693.6999108613586
Florida,430.9811597003912
Georgia,324.7088703700915
Idaho,787.4044073063135
Illinois,710.4740510460177
Indiana,912.8915316459128
Iowa,482.01330375735375
Kansas,784.7224353924286
Kentucky,756.402078410202
Louisiana,548.3910758052825
Maine,191.08380438289706
Maryland,417.94896757448527
Massachusetts,623.7315280923966
Michigan,731.5829480400375
Minnesota,986.8298397585415
Mississippi,613.7605533670717
Missouri,552.1275128837125
Montana,749.1867213904904
Nebraska,880.5942548979177
Nevada,782.5670425227072
New Hampshire,498.89803263865844
New Jersey,516.5071098134903
New Mexico,849.4118636147386
New York,451.7828748312822
North Carolina,473.8506779966403
North Dakota,833.6404574505938
Ohio,911.1479925742786
Oklahoma,742.1080417319207
Oregon,335.8605405153116
Pennsylvania,675.3135893849887
Rhode Island,1062.365493376263
South Carolina,427.02757565148454
South Dakota,1016.1300245954334
Tennessee,801.153153472775
Texas,375.7085359813692
Utah,936.7380536934226
Vermont,159.80135180954423
Virginia,352.6691564642157
Washington,337.28079210793146
West Virginia,618.3724246472448
Wisconsin,721.163790165517
Wyoming,920.9360027230678
