date,hospitalized,deathIncrease,totalTestResultsIncrease,positiveIncrease,hospitalized_7day,deathIncrease_7day,totalTestResultsIncrease_7day,positiveIncrease_7day,positivity_7day
2020-01-22,0.0,0.0,0.0,39.0,,,,,
2020-01-23,0.0,0.0,0.0,2.0,,,,,
2020-01-24,0.0,0.0,0.0,0.0,,,,,
2020-01-25,0.0,0.0,0.0,3.0,,,,,
2020-01-26,0.0,0.0,0.0,0.0,,,,,
2020-01-27,0.0,0.0,0.0,1.0,,,,,
2020-01-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.571428571428571,inf
2020-01-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1428571428571428,inf
2020-01-30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1428571428571428,inf
2020-01-31,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.7142857142857142,inf
2020-02-01,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.7142857142857142,inf
2020-02-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8571428571428572,inf
2020-02-03,0.0,0.0,0.0,30.0,0.0,0.0,0.0,6.0,inf
2020-02-04,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,inf
2020-02-05,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.571428571428571,inf
2020-02-06,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.714285714285714,inf
2020-02-07,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.857142857142857,inf
2020-02-08,0.0,1.0,0.0,9.0,0.0,0.14285714285714285,0.0,8.714285714285714,inf
2020-02-09,0.0,0.0,0.0,35.0,0.0,0.14285714285714285,0.0,13.571428571428571,inf
2020-02-10,0.0,0.0,0.0,10.0,0.0,0.14285714285714285,0.0,10.714285714285714,inf
2020-02-11,0.0,0.0,0.0,14.0,0.0,0.14285714285714285,0.0,11.571428571428571,inf
2020-02-12,0.0,0.0,0.0,10.0,0.0,0.14285714285714285,0.0,12.285714285714286,inf
2020-02-13,0.0,0.0,0.0,7.0,0.0,0.14285714285714285,0.0,12.857142857142858,inf
2020-02-14,0.0,0.0,0.0,11.0,0.0,0.14285714285714285,0.0,13.714285714285714,inf
2020-02-15,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.285714285714286,inf
2020-02-16,0.0,0.0,0.0,16.0,0.0,0.0,0.0,10.571428571428571,inf
2020-02-17,0.0,0.0,0.0,18.0,0.0,0.0,0.0,11.714285714285714,inf
2020-02-18,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.714285714285714,inf
2020-02-19,0.0,1.0,0.0,18.0,0.0,0.14285714285714285,0.0,11.857142857142858,inf
2020-02-20,0.0,0.0,0.0,16.0,0.0,0.14285714285714285,0.0,13.142857142857142,inf
2020-02-21,0.0,0.0,0.0,20.0,0.0,0.14285714285714285,0.0,14.428571428571429,inf
2020-02-22,0.0,0.0,0.0,26.0,0.0,0.14285714285714285,0.0,17.285714285714285,inf
