statename,2020-12-30
Alabama,8.391047276995902
Arizona,11.658255549314923
Arkansas,13.325678445083152
California,6.2855775757578325
Colorado,7.367688226821204
Connecticut,9.175779036662608
Delaware,6.455069488823047
Florida,4.546235813524355
Georgia,4.157586746130125
Idaho,7.154588269433002
Illinois,11.465259356623982
Indiana,11.235947188119866
Iowa,10.595191684676228
Kansas,11.964773744657407
Kentucky,5.771620771196613
Louisiana,7.91295856209466
Maine,3.560237734609039
Maryland,6.828961222842473
Massachusetts,8.549662064502755
Michigan,10.227728017218745
Minnesota,8.701175639018391
Mississippi,10.872151514303502
Missouri,8.053629538068948
Montana,7.618848014140582
Nebraska,6.092672427799248
Nevada,9.577436986957803
New Hampshire,6.09373189281714
New Jersey,7.6316442550445664
New Mexico,13.183171895684932
New York,6.627504929743784
North Carolina,5.107837482177733
North Dakota,8.342028413886084
Ohio,6.587333498729586
Oklahoma,5.866680780396348
Oregon,3.488668381714107
Pennsylvania,13.971043316561424
Rhode Island,12.608679059492333
South Carolina,6.229017298577581
South Dakota,13.241583157222967
Tennessee,11.944552675247191
Texas,6.63641057943959
Utah,3.564791375486338
Vermont,3.3196555891667505
Virginia,3.9833547321492695
Washington,3.9021278059042612
West Virginia,11.11994240906099
Wisconsin,8.575206078518267
Wyoming,9.503091960556985
