statename,2021-02-10
Alabama,393.0535530913653
Arizona,497.3796500517487
Arkansas,496.4821155667214
California,349.0185809084951
Colorado,219.57943548723193
Connecticut,363.76554578315046
Delaware,412.904388097556
Florida,399.58985037789193
Georgia,439.31160535443894
Idaho,219.95362707647934
Illinois,230.06051886983838
Indiana,277.2276336906365
Iowa,186.57045870388203
Kansas,303.45902589677206
Kentucky,481.0589955250274
Louisiana,342.19320414836926
Maine,197.30093594930392
Maryland,237.56042094756683
Massachusetts,408.7567524971904
Michigan,148.31636076438122
Minnesota,159.4328951149396
Mississippi,361.94904412187896
Missouri,177.50571924079128
Montana,271.60524850409934
Nebraska,240.3836212422612
Nevada,276.4702270181863
New Hampshire,298.59286274803986
New Jersey,451.44111016379003
New Mexico,263.76563304467294
New York,488.7280020352058
North Carolina,496.40007786796093
North Dakota,98.79211177793185
Ohio,307.65536146617666
Oklahoma,516.5206272315726
Oregon,145.25392577651405
Pennsylvania,345.4931885974906
Rhode Island,464.1612120082632
South Carolina,636.8996774173679
South Dakota,159.22196332953473
Tennessee,361.92412979122474
Texas,553.5786272539882
Utah,371.07250224203096
Vermont,199.5227479971602
Virginia,408.09301863023376
Washington,192.695700761277
West Virginia,325.86612593721384
Wisconsin,216.58835953682407
Wyoming,185.86566873504958
