city,2021-02-10
Alsip,4.5
Arlington Heights,14.785714285714286
Bellwood,4.5
Berkeley,1.0714285714285714
Berwyn,14.5
Blue Island,4.857142857142857
Bridgeview,3.642857142857143
Broadview,1.3571428571428572
Brookfield,2.9285714285714284
Burbank,4.357142857142857
Calumet City,6.5
Chicago,485.07142857142856
Chicago Heights,10.142857142857142
Chicago Ridge,2.5714285714285716
Cicero,20.714285714285715
Country Club Hills,2.2142857142857144
Des Plaines,20.285714285714285
Dolton,5.5
Elk Grove Village,6.214285714285714
Elmwood Park,10.0
Evanston,12.785714285714286
Evergreen Park,3.642857142857143
Flossmoor,1.6428571428571428
Forest Park,3.2857142857142856
Franklin Park,6.0
Glencoe,1.2142857142857142
Glenview,9.0
Glenwood,1.2857142857142858
Golf,0.0
Hanover Park,8.214285714285714
Harvey,7.714285714285714
Harwood Heights,6.857142857142857
Hazel Crest,2.5
Hickory Hills,3.2142857142857144
Hillside,1.1428571428571428
Hines,0.14285714285714285
Hoffman Estates,8.142857142857142
Hometown,0.7857142857142857
Homewood,3.2142857142857144
Justice,3.357142857142857
Kenilworth,0.6428571428571429
La Grange,6.142857142857143
La Grange Park,2.9285714285714284
Lansing,6.0
Lemont,6.285714285714286
Lincolnwood,2.642857142857143
Lyons,2.357142857142857
Markham,2.2857142857142856
Matteson,3.7142857142857144
Maywood,4.714285714285714
Melrose Park,11.785714285714286
Midlothian,4.5
Morton Grove,3.4285714285714284
Mount Prospect,9.357142857142858
Niles,6.214285714285714
Northbrook,6.785714285714286
Oak Forest,6.142857142857143
Oak Lawn,13.571428571428571
Oak Park,7.785714285714286
Olympia Fields,0.5714285714285714
Orland Park,14.785714285714286
Palatine,12.928571428571429
Palos Heights,3.5
Palos Hills,3.142857142857143
Palos Park,1.6428571428571428
Park Forest,3.4285714285714284
Park Ridge,9.142857142857142
Posen,1.3571428571428572
Prospect Heights,3.9285714285714284
Richton Park,1.5
River Forest,2.142857142857143
River Grove,2.7142857142857144
Riverdale,4.857142857142857
Riverside,4.214285714285714
Robbins,1.4285714285714286
Rolling Meadows,3.7857142857142856
Schaumburg,12.5
Schiller Park,3.5
Skokie,14.428571428571429
South Holland,6.5
Steger,2.2142857142857144
Stone Park,1.1428571428571428
Streamwood,6.928571428571429
Summit Argo,2.2142857142857144
Thornton,0.21428571428571427
Tinley Park,17.357142857142858
Westchester,4.714285714285714
Western Springs,2.357142857142857
Wheeling,10.071428571428571
Willow Springs,0.7142857142857143
Wilmette,5.214285714285714
Winnetka,5.5
Worth,2.2857142857142856
