city,2021-08-24
Arlington Heights,182.2924962745077
Berwyn,191.73171174441822
Brookfield,186.41227476784948
Calumet City,214.33637561085865
Chicago,165.6088181244328
Chicago Heights,198.4023649561903
Cicero,111.84693097223592
Des Plaines,194.30797574268828
Elk Grove Village,161.3301067311987
Elmwood Park,208.85062539159492
Evanston,115.75581311223972
Glenview,152.06970771422334
Hanover Park,151.80422128182735
Hoffman Estates,125.77512577512579
La Grange,128.9155158026983
Melrose Park,236.09477910667826
Mount Prospect,184.71551191087542
Northbrook,180.82738183018375
Oak Lawn,179.95619789566112
Oak Park,114.86990982712078
Orland Park,227.21670257119277
Palatine,186.36886125018637
Park Ridge,219.4396846174689
Schaumburg,137.64701724493915
Skokie,162.29940995147848
Streamwood,179.73123267974663
Techny,106.23550146639822
Tinley Park,203.35773626168472
Wheeling,176.01001960195796
