,count,count,count,tested,tested,tested,7daypos100k,7daypos100k,7daypos100k,percentage,percentage,percentage,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,7daypos100k_14day,7daypos100k_14day,7daypos100k_14day,population,population,population
zip,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,,,,,,,,,,,,,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-20,0.0,1.0,1.0,2.0,4.0,6.0,,,,0.0,0.25,0.16666666666666666,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-21,0.0,2.0,1.0,2.0,20.0,6.0,,,,0.0,0.1,0.16666666666666666,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-22,1.0,2.0,0.0,3.0,25.0,13.0,,,,0.3333333333333333,0.08,0.0,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-23,0.0,5.0,3.0,1.0,21.0,15.0,,,,0.0,0.23809523809523808,0.2,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-24,0.0,4.0,2.0,3.0,26.0,11.0,,,,0.0,0.15384615384615385,0.18181818181818182,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-25,0.0,2.0,-1.0,2.0,36.0,25.0,,,,0.0,0.05555555555555555,-0.04,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-26,0.0,1.0,3.0,1.0,18.0,17.0,39.43217665615142,53.04543185222167,51.01751601383142,0.0,0.05555555555555555,0.17647058823529413,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-27,0.0,1.0,3.0,3.0,17.0,12.0,39.43217665615142,53.04543185222167,62.354741794682845,0.0,0.058823529411764705,0.25,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-28,1.0,3.0,2.0,2.0,39.0,19.0,78.86435331230284,56.16575137294059,68.02335468510856,0.5,0.07692307692307693,0.10526315789473684,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-29,1.0,5.0,0.0,6.0,32.0,16.0,78.86435331230284,65.52670993509736,68.02335468510856,0.16666666666666666,0.15625,0.0,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-04-30,0.0,4.0,0.0,2.0,47.0,22.0,78.86435331230284,62.406390414378436,51.01751601383142,0.0,0.0851063829787234,0.0,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-05-01,1.0,7.0,0.0,2.0,2.0,-4.0,118.29652996845427,71.7673489765352,39.68029023297999,0.5,3.5,-0.0,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-05-02,0.0,4.0,2.0,3.0,31.0,14.0,118.29652996845427,78.00798801797303,56.68612890425713,0.0,0.12903225806451613,0.14285714285714285,,,,,,,,,,,,,2536.0,32048.0,17641.0
2020-05-03,0.0,2.0,0.0,1.0,43.0,28.0,118.29652996845427,81.12830753869196,39.68029023297999,0.0,0.046511627906976744,0.0,0.2857142857142857,3.0714285714285716,1.1428571428571428,2.357142857142857,25.785714285714285,14.285714285714286,0.1212121212121212,0.11911357340720223,0.07999999999999999,,,,2536.0,32048.0,17641.0
2020-05-04,1.0,3.0,0.0,2.0,34.0,12.0,157.72870662460568,87.3689465801298,22.674451561702853,0.5,0.08823529411764706,0.0,0.35714285714285715,3.2142857142857144,1.0714285714285714,2.357142857142857,27.928571428571427,14.714285714285714,0.15151515151515152,0.11508951406649617,0.07281553398058252,,,,2536.0,32048.0,17641.0
2020-05-05,0.0,4.0,1.0,5.0,28.0,14.0,118.29652996845427,90.48926610084872,17.00583867127714,0.0,0.14285714285714285,0.07142857142857142,0.35714285714285715,3.357142857142857,1.0714285714285714,2.5714285714285716,28.5,15.285714285714286,0.1388888888888889,0.11779448621553885,0.07009345794392523,,,,2536.0,32048.0,17641.0
2020-05-06,0.0,2.0,0.0,4.0,27.0,8.0,78.86435331230284,81.12830753869196,17.00583867127714,0.0,0.07407407407407407,0.0,0.2857142857142857,3.357142857142857,1.0714285714285714,2.642857142857143,28.642857142857142,14.928571428571429,0.1081081081081081,0.1172069825436409,0.07177033492822966,,,,2536.0,32048.0,17641.0
2020-05-07,0.0,2.0,2.0,2.0,30.0,16.0,78.86435331230284,74.88766849725413,28.343064452128566,0.0,0.06666666666666667,0.125,0.2857142857142857,3.142857142857143,1.0,2.7142857142857144,29.285714285714285,15.0,0.10526315789473684,0.1073170731707317,0.06666666666666667,,,,2536.0,32048.0,17641.0
2020-05-08,0.0,1.0,1.0,1.0,45.0,21.0,39.43217665615142,56.16575137294059,34.01167734255428,0.0,0.022222222222222223,0.047619047619047616,0.2857142857142857,2.9285714285714284,0.9285714285714286,2.5714285714285716,30.642857142857142,15.714285714285714,0.11111111111111109,0.09557109557109557,0.0590909090909091,,,,2536.0,32048.0,17641.0
