,city,population,Age 0-2,Age 3-4,Age 5,Age 6-12,first,full,fullpct,ineligible,eligible,eligiblefullpct
35,Hines,302,0,0,0,0.0,389.0,370.0,1.2251655629139073,0.0,302.0,1.2251655629139073
28,Golf,476,15,7,12,60.33333333,381.0,352.0,0.7394957983193278,94.33333333,381.66666667,0.9222707423500239
40,Kenilworth,2460,102,50,48,340.6666667,1817.0,1653.0,0.6719512195121952,540.6666667,1919.3333333,0.8612365404803966
85,Thornton,2550,38,24,64,131.6666667,1189.0,1086.0,0.4258823529411765,257.6666667,2292.3333333,0.4737530900170678
37,Hometown,4272,131,178,52,287.6666667,2524.0,2324.0,0.5440074906367042,648.6666667,3623.3333333,0.6413983440721379
59,Olympia Fields,4716,102,96,24,409.3333333,3329.0,3070.0,0.6509754028837998,631.3333333,4084.6666667,0.7515913171148066
81,Stone Park,4894,244,147,42,577.3333333,2672.0,2378.0,0.48590110339190845,1010.3333333,3883.6666667,0.612307956393337
74,Robbins,4904,163,124,21,395.3333333,2051.0,1806.0,0.3682707993474715,703.3333333,4200.6666667,0.4299317568605782
3,Berkeley,5103,169,151,53,384.3333333,3443.0,3203.0,0.6276699980403684,757.3333333,4345.6666667,0.7370560711763668
90,Willow Springs,5151,136,84,54,305.3333333,3143.0,2973.0,0.5771694816540478,579.3333333,4571.6666667,0.6503098796890243
67,Posen,5795,364,306,45,735.0,2972.0,2670.0,0.46074201898188094,1450.0,4345.0,0.6144994246260069
7,Broadview,7755,146,118,89,755.0,4577.0,4191.0,0.5404255319148936,1108.0,6647.0,0.6305100045133143
34,Hillside,8176,164,172,60,747.6666667,5056.0,4656.0,0.5694716242661448,1143.6666667,7032.3333333,0.6620846565893828
25,Glencoe,8471,179,338,173,974.3333333,6307.0,5890.0,0.6953134222641955,1664.3333333,6806.6666667,0.8653281096921385
27,Glenwood,8842,259,207,140,822.6666667,4654.0,4226.0,0.47794616602578605,1428.6666667,7413.3333333,0.5700539568370956
64,Palos Park,9662,206,123,89,843.6666667,6414.0,6061.0,0.6273028358517905,1261.6666667,8400.333333300001,0.7215189873446352
80,Steger,9664,393,119,56,787.3333333,4055.0,3626.0,0.3752069536423841,1355.3333333,8308.666666699999,0.4364117788636909
22,Flossmoor,9941,460,439,69,695.3333333,6659.0,6201.0,0.623780303792375,1663.3333333,8277.666666699999,0.749124149314424
71,River Grove,10076,477,232,218,950.6666667,5348.0,4953.0,0.49156411274315204,1877.6666667,8198.333333300001,0.6041471843895269
46,Lyons,10452,520,224,175,1137.333333,5845.0,5376.0,0.5143513203214696,2056.333333,8395.666667,0.6403303291126244
93,Worth,10849,276,337,104,751.3333333,5417.0,4915.0,0.4530371462807632,1468.3333333,9380.666666699999,0.5239499680174687
